page	ligne	col	lu	corrige	regle	vedette lue
144	2	0	d	e	initiale de section	duookarpo
144	25	0	s	e	initiale de section	smfilar
148	9	0	d	e	initiale de section	deigrafio
148	17	0	s	e	initiale de section	spilepsio
148	30	0	o	e	initiale de section	omiskopo
148	40	0	s	e	initiale de section	smitafo
150	26	0	s	e	initiale de section	srektar
151	32	0	i	e	initiale de section	iesi
152	5	0	d	e	initiale de section	dshelono
154	14	0	d	e	initiale de section	ddplanado
154	24	0	s	e	initiale de section	smmruva
154	26	0	s	e	initiale de section	smquado
154	30	0	s	e	initiale de section	ssto
154	57	0	d	e	initiale de section	detayo
156	41	0	a	e	initiale de section	atsoido
156	47	0	s	e	initiale de section	stnologio
158	13	0	s	e	initiale de section	smajerar
158	32	0	d	e	initiale de section	dxssperar
158	40	0	d	e	initiale de section	dxegezo
159	18	10	b	i	finale morphologique	bexequaturb
159	52	4	c	o	finale morphologique	exinc
160	17	0	d	e	initiale de section	dskoriar
160	29	0	s	e	initiale de section	ssodo
160	36	0	s	e	initiale de section	smorcisar
161	32	7	I	r	finale morphologique	expiacaI
165	47	0	i	f	initiale de section	ialansterio
167	37	0	d	f	initiale de section	dfaradd
167	37	6	d	a	finale morphologique	dfaradd
168	32	0	d	f	initiale de section	dfascia
168	7	5	c	o	finale morphologique	farinc
168	25	4	c	o	finale morphologique	fersc
171	42	4	d	a	finale morphologique	ffesd
172	21	5	c	o	finale morphologique	fiakrc
172	43	7	c	o	finale morphologique	fibroinc
175	12	0	i	f	initiale de section	iingro
176	16	0	d	f	initiale de section	dszicnomic
176	3	5	c	o	finale morphologique	ldgikc
176	16	9	c	o	finale morphologique	dszicnomic
176	24	6	c	o	finale morphologique	flagelc
176	46	5	I	r	finale morphologique	iusraI
178	2	5	c	o	finale morphologique	flitrc
178	34	4	c	o	finale morphologique	floxc
179	9	0	i	f	initiale de section	iluoreoar
180	2	7	c	o	finale morphologique	fklikulc
180	45	9	c	o	finale morphologique	fenosetric
181	21	6	c	o	finale morphologique	forestc
181	47	6	c	o	finale morphologique	forsatc
182	8	4	c	o	finale morphologique	vornc
182	13	8	c	o	finale morphologique	foroncmic
182	18	5	n	o	finale morphologique	fersan
184	16	3	c	o	finale morphologique	fcyc
186	31	5	m	a	finale morphologique	dkmmlm
187	15	4	c	o	finale morphologique	friec
190	24	4	c	o	finale morphologique	lmngc
194	36	5	c	o	finale morphologique	gmmetc
196	58	3	c	o	finale morphologique	aasc
198	12	0	s	g	initiale de section	smnezo
198	14	0	s	g	initiale de section	smnio
199	35	4	s	e	finale morphologique	sgess
200	6	0	s	g	initiale de section	sibelino
200	10	0	s	g	initiale de section	sibono
200	16	0	s	g	initiale de section	sigantc
200	21	0	s	g	initiale de section	silochar
200	16	6	c	o	finale morphologique	sigantc
201	2	9	s	o	finale morphologique	ginqdioiks
202	38	4	c	o	finale morphologique	guebc
204	43	4	c	o	finale morphologique	gnosc
204	46	7	c	o	finale morphologique	gnostikc
206	19	8	c	o	finale morphologique	syadientc
206	42	8	c	o	finale morphologique	grsmatikc
206	44	6	c	o	finale morphologique	graminc
208	32	0	g	s	initiale de section	gremio
208	35	0	g	s	initiale de section	grenado
208	53	0	g	s	initiale de section	grilar
208	17	5	c	o	finale morphologique	sysvic
208	44	4	c	o	finale morphologique	sretc
208	49	6	c	o	finale morphologique	syifonc
210	16	0	s	g	initiale de section	sumrm
210	29	0	s	g	initiale de section	sruzo
210	32	0	s	g	initiale de section	smacho
210	26	4	c	o	finale morphologique	gyupc
210	48	7	c	o	finale morphologique	gmbernic
211	41	4	q	o	finale morphologique	gurmq
212	2	8	c	o	finale morphologique	smtaperkc
212	5	5	c	o	finale morphologique	gmturc
215	10	0	b	h	initiale de section	barda
215	18	6	c	o	finale morphologique	haringc
217	36	0	o	h	initiale de section	oeliofilo
219	7	0	b	h	initiale de section	bepatikcq
219	23	0	b	h	initiale de section	berbo
219	15	8	c	o	finale morphologique	heptagonc
219	35	4	c	o	finale morphologique	herdc
219	50	7	c	o	finale morphologique	heriscnc
221	2	0	n	h	initiale de section	neterogenezo
221	34	0	n	h	initiale de section	neaitar
221	37	0	b	h	initiale de section	biacinto
223	2	12	c	o	finale morphologique	hidromekanikc
224	27	0	b	h	initiale de section	bimeneo
224	40	0	b	h	initiale de section	bioido
224	43	0	b	h	initiale de section	bipar
224	47	0	b	h	initiale de section	bipalago
224	36	4	c	o	finale morphologique	himnc
225	9	0	b	h	initiale de section	biperbereo
225	38	0	b	h	initiale de section	bipcdrcmo
225	25	11	I	r	finale morphologique	hipertrofiaI
225	28	7	I	r	finale morphologique	hipootaI
225	47	6	c	o	finale morphologique	hipogec
227	12	0	n	h	initiale de section	nistogenezo
228	22	0	b	h	initiale de section	bolografEs
228	46	0	b	h	initiale de section	bomeopatio
228	52	0	b	h	initiale de section	bomeosexuala
228	28	8	c	o	finale morphologique	holometrc
228	55	7	s	a	finale morphologique	bemerals
229	33	0	b	h	initiale de section	bcmoteta
229	38	0	b	h	initiale de section	bmsmtipao
229	25	7	g	e	finale morphologique	homoloEg
229	52	2	n	o	finale morphologique	nun
230	6	4	q	o	finale morphologique	bmreq
230	29	9	c	o	finale morphologique	hornblendc
232	6	0	h	b	initiale de section	hurdo
233	29	5	c	o	finale morphologique	idantc
236	9	4	I	r	finale morphologique	bmumI
236	37	6	c	o	finale morphologique	gmrtelc
241	18	11	g	e	finale morphologique	infinitezimg
242	43	10	n	o	finale morphologique	inioiativan
242	46	6	I	r	finale morphologique	njektaI
245	23	10	c	o	finale morphologique	instrumehtc
250	39	6	c	o	finale morphologique	irisitc
251	37	2	z	a	finale morphologique	iiz
252	22	6	s	a	finale morphologique	hmmmmfs
252	39	6	m	a	finale morphologique	hmtnkmm
254	26	3	E	o	finale morphologique	EogE
254	38	4	c	o	finale morphologique	hmmuc
256	26	3	c	o	finale morphologique	mtec
257	37	12	c	o	finale morphologique	juriskonsultc
262	29	0	l	k	initiale de section	lalorio
262	35	0	l	k	initiale de section	lmlorimetro
262	15	4	s	o	finale morphologique	kmlss
263	12	2	m	a	finale morphologique	kom
265	45	9	c	o	finale morphologique	kandelabrc
266	19	0	l	k	initiale de section	lmnibalc
266	19	7	c	o	finale morphologique	lmnibalc
266	42	5	c	o	finale morphologique	kanohc
267	9	6	c	o	finale morphologique	kansonc
267	15	8	c	o	finale morphologique	kantabilc
267	50	6	c	o	finale morphologique	kanvasc
268	23	0	l	k	initiale de section	lapelo
268	33	0	l	k	initiale de section	lspero
268	6	3	c	o	finale morphologique	kmpc
268	14	6	s	o	finale morphologique	kmpabls
272	17	0	l	k	initiale de section	lardelo
272	34	0	l	k	initiale de section	lsrdioido
274	16	0	l	k	initiale de section	laroso
274	25	0	l	k	initiale de section	larotino
274	29	0	l	k	initiale de section	larpo
274	49	6	c	o	finale morphologique	kartamc
276	11	7	c	o	finale morphologique	karunklc
276	20	3	c	o	finale morphologique	kaac
276	27	6	I	r	finale morphologique	kasacoI
278	39	0	l	k	initiale de section	latarakto
278	31	9	c	o	finale morphologique	kataplasmc
280	32	0	l	k	initiale de section	lmvalkar
280	35	0	l	k	initiale de section	lsvalrio
280	38	0	l	k	initiale de section	lmvatino
281	2	5	c	o	finale morphologique	kazakc
282	26	0	l	k	initiale de section	larlo
282	39	0	l	k	initiale de section	ldrubo
282	16	5	c	o	finale morphologique	kmrelc
282	19	4	c	o	finale morphologique	kmmic
283	19	8	c	o	finale morphologique	kilometrc
284	40	0	k	l	initiale de section	kiapo
286	29	0	l	k	initiale de section	liifo
286	32	0	l	k	initiale de section	liiko
288	28	0	l	k	initiale de section	llukar
290	31	0	l	k	initiale de section	loko
290	8	4	c	o	finale morphologique	lnfic
291	24	9	s	o	finale morphologique	kolaterals
291	41	6	c	o	finale morphologique	kolegic
293	48	7	c	o	finale morphologique	koloritc
295	55	5	s	a	finale morphologique	kemiks
298	30	0	l	k	initiale de section	lompromisar
298	15	6	c	o	finale morphologique	kmmmctc
300	5	0	l	k	initiale de section	londamnar
300	26	0	l	k	initiale de section	londilono
304	2	4	c	o	finale morphologique	lmmkc
308	16	0	l	k	initiale de section	lontenta
309	47	0	E	k	initiale de section	Eontributar
312	10	0	l	k	initiale de section	lopulo
316	19	6	c	o	finale morphologique	kmrundc
318	13	0	l	k	initiale de section	loxalgio
320	6	0	l	k	initiale de section	lremacar
320	9	6	c	o	finale morphologique	kremonc
321	42	3	k	a	finale morphologique	zrbk
322	23	0	l	k	initiale de section	lmiplo
326	2	0	l	k	initiale de section	lruela
326	4	4	m	o	finale morphologique	kmugm
326	19	4	c	o	finale morphologique	krupc
327	31	11	c	o	finale morphologique	kukurbitacec
328	16	0	l	k	initiale de section	lmlpar
330	18	0	l	k	initiale de section	lmrear
330	45	5	c	o	finale morphologique	kurlic
331	12	6	c	o	finale morphologique	kurtenc
331	45	5	I	r	finale morphologique	kostaI
334	15	3	c	o	finale morphologique	ladc
334	23	5	c	o	finale morphologique	legPnc
334	28	3	c	o	finale morphologique	lakc
337	11	4	I	r	finale morphologique	lapaI
338	44	6	u	o	finale morphologique	latrinu
339	15	7	c	o	finale morphologique	laureatc
340	13	3	c	o	finale morphologique	legc
340	26	5	c	o	finale morphologique	qegatc
342	5	5	c	o	finale morphologique	leporc
342	28	6	c	o	finale morphologique	leucitc
344	28	0	u	l	initiale de section	uietnanto
344	21	3	c	o	finale morphologique	lidc
344	31	4	P	o	finale morphologique	liftP
346	30	0	u	l	initiale de section	uinchar
346	33	4	c	o	finale morphologique	linoc
348	27	9	E	o	finale morphologique	literatuEE
348	37	5	c	o	finale morphologique	litijc
356	12	6	c	o	finale morphologique	gmgnatc
356	39	7	c	o	finale morphologique	saiflorc
358	5	0	g	s	initiale de section	gmkulo
358	25	6	c	o	finale morphologique	smlaric
360	2	0	e	s	initiale de section	emndato
360	11	0	g	s	initiale de section	gmndelo
360	14	0	g	s	initiale de section	gmndibulo
362	38	0	m	s	initiale de section	manuo
362	36	6	c	o	finale morphologique	santisc
363	19	8	c	o	finale morphologique	maraskinc
364	2	0	g	s	initiale de section	gmrSrito
