# Arbitrages a l'oeil, sur le fac-simile. Ce fichier l'emporte sur exceptions.txt
# et n'est jamais reecrit par un programme.
# page	ligne	colonne	lecture retenue
250	56	40	a
250	56	41	
250	56	42	r
250	56	43	e
250	56	44	l
250	56	45	i
250	56	46	g
250	56	47	i
250	56	48	o
250	56	49	
250	56	50	e
250	56	51	
250	56	52	t
250	56	53	a
250	56	54	
250	56	55	c
250	56	56	i
250	56	57	v
250	56	58	i
250	56	59	l
250	56	60	i
250	56	61	z
250	56	62	e
250	56	63	s
250	56	64	o
250	56	65	-
250	56	66	
250	56	67	
250	56	68	
250	56	69	
250	57	0	
250	57	1	
250	57	2	f
250	57	3	o
250	57	4	r
250	57	5	m
250	57	6	o
250	57	7	.
250	57	8	
250	57	9	
250	57	10	
250	57	11	
250	57	12	
250	57	13	
250	57	14	
250	57	15	
250	57	16	
250	57	17	
250	57	18	
250	57	19	
250	57	20	
250	57	21	
250	57	22	
250	57	23	
250	57	24	
250	57	25	
250	57	26	
250	57	27	
250	57	28	
250	57	29	
250	57	30	
250	57	31	
250	57	32	
250	57	33	
250	57	34	
250	57	35	
250	57	36	
250	57	37	
250	57	38	
250	57	39	
250	57	40	
250	57	41	
250	57	42	
250	57	43	
250	57	44	
250	57	45	
250	57	46	
250	57	47	
250	57	48	
250	57	49	
250	57	50	
250	57	51	
250	57	52	
250	57	53	
250	57	54	
250	57	55	
250	57	56	
250	57	57	
250	57	58	
250	57	59	
250	57	60	
250	57	61	
250	57	62	
250	57	63	
250	57	64	
250	57	65	
250	57	66	
250	57	67	
250	57	68	
250	57	69	
# p282 l55 et p284 l15 : deux lignes que le classement a manquees, le
# soulignement ayant brouille les cellules. Le scan les donne sans le
# moindre doute : « kikar. (netrans.)... » et « kisto. (patol.) ... ».
# Sans elles, « kikar » et « kisto » n'etaient pas des articles du livre,
# et leur texte tombait dans « khedivo » et « kismet ».
282	55	0	k
282	55	1	i
282	55	2	k
282	55	3	a
282	55	4	r
282	55	5	.
282	55	9	e
282	55	10	t
282	55	11	r
282	55	12	a
282	55	14	s
282	55	15	.
282	55	18	a
282	55	19	l
282	55	20	u
282	55	22	a
282	55	24	t
282	55	25	e
282	55	27	k
282	55	28	a
282	55	30	a
282	55	31	l
282	55	32	o
282	55	33	,
282	55	35	a
282	55	36	s
282	55	38	o
282	55	39	,
282	55	41	e
282	55	43	c
282	55	44	.
282	55	48	L
282	55	49	a
282	55	51	s
282	55	53	r
282	55	56	a
282	55	57	p
282	55	58	i
282	55	60	e
284	15	0	k
284	15	1	i
284	15	2	s
284	15	3	t
# p310 l29 c5 : the cell reads « a », and the sentence asks for « o ».
# « ... pri punto determinita ek ulo agata o facota » -- the two participles
# are a pair, and « facota » is future passive; the present passive « agata »
# breaks it. The reading adopted is « agota », « to be done ».
# The cell was not settled by the decoding: exceptions_pairs.txt (line 501)
# put it right by the book's own lexicon, where « agata » exists as well as
# « agota ». A lookalike a/o that the lexicon alone cannot arbitrate; the eye
# does, on the sense.
310	29	5	o
