vedetto	fako	senci	nomi_latina	lingui	kodo	pagino	ligno	imago	drapeli
abstraktar	trans	I. Izolar per penso. ¶ II. (filoz.) Konsiderar parto, izolante lu ek la toto. - Nombro abs- traktita : qua ne indikas grandoro reala, objekti mezur- ebla o kontebla.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	4	34	11	korektita
abstruza		Desfacile komprenebla e tedanta.		germana,angla,franca,italiana,hispana	DEFIS	4	39	11	
absurda		Kontrea ye la raciono komuna.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	4	41	11	
abulio	medicino	. Morbo mentala quan karakterizas la savo di to quon onu devas agar e la nepovo agar lo.DEFIS.				4	43	11	sen-lingui
abundar	netrans	Esar plu multa kam suficante.		angla,franca,italiana,hispana	EFIS	4	46	11	
abutar	netrans	Arivar per sua extremajo. (Ex.: strado qua abutas an placo ; nervi qui abutas an la cerebro).EFIS.				4	48	11	sen-lingui,korektita
abutmento	teknol	Konstrukturo, masivo petra, destinita a suportar pulso. (Ex.: sur la rivi di fluvio, por rezis- tar la pulsi da la arki).		franca	F	4	51	11	
acefala	biol	Sen-kapa. (Ex.: la ostri esas acefala).				5	2	12	sen-lingui
acelerar	trans	Igar plu rapida.		angla,franca,italiana,hispana	EFIS	5	4	12	
acendar	trans	Igar lumifanta per igar (lu) produktar flami, mem nur mikra. (Anke metaf.)		italiana,hispana,latina	ISL	5	6	12	korektita
acensar	netrans., sur	. Irar adsupre, hisar su adsupre.		germana,angla,franca,italiana,hispana	DEFIS	5	9	12	korektita
acento	fonetiko	. Plu-lautigo di la voco sur ta o ca si- labo di vorto.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	5	12	12	korektita
aceptar		I. Konsentar prenar, recevar to quon ulo ofras, donas, donacas, prizentas. ¶ II. Recevar volunte (ulu) qua venas kom vizitanto.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	5	15	12	
acero	bot	Arboro di qua la ligno, veinoza, uzesas por la faco di mobli.	acer campestre			5	19	12	sen-lingui
acerba		Pikanta ed atakema (metaf.)		angla,franca,italiana,hispana	EFIS	5	22	12	ordino-rompita
acesar	trans	Povar arivar an loko, an persono.		angla,franca,italiana,hispana	EFIS	5	24	12	
acesito		Nomino quan onu grantas, en konkurso, a la personi qui proximeskis maxime a la premio.		germana,angla,franca,italiana,hispana	DEFIS	5	26	12	
acesora		Qua adjuntesas a la kozo precipua.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	5	29	12	
acetato	kemio	.CH3 CO2H.				5	31	12	sen-lingui,korektita
acetileno	Kemio	. CH : CH.				5	33	12	sen-lingui
acetometro		Acidometro specala, uzata por mezurar la koncentr- eso-grado di vinagro.				5	35	12	sen-lingui
acetono	Kemio	CH3CO.CH3.				5	38	12	sen-lingui,korektita
-acho		Sufixo pejorativa qua expresas qualeso tre infra, nuanco di desestimo, antipatio, repugneso.				5	40	12	sen-lingui,korektita,ordino-rompita
aciano	bot	Varietato di centaurei, kun floro blua, qua kreskas precipue en la frumento-agri.	centaurea cyanus			5	43	12	sen-lingui
acida		Di qua la saporo esas pikanta. - (Kemio) Acido : Oxo-kompozajo qua redigás la tornasolo blua, e qua, kande onu deskompozas lua sali per baterio, fluas a la polo po- zitiva.		angla,franca,italiana,rusa,hispana	EFIRS	5	46	12	korektita
acidentar	trans	I. Ruptar hazarde, ne-expektite e (gene- rale) desfortunoze la iro normala di la kozi. ¶ II. (filoz.) Modifikar nedurive, efemere, la eso.		angla,franca,italiana,rusa,hispana	EFIRS	5	51	12	korektita
acidometro		Instrumento per qua onu mezuras la koncentreso- grado di acido.		angla,franca,italiana,rusa,hispana	EFIRS	6	3	13	
aciono		(Financo) I. Parto di la kapitalo suskriptenda, qua yurizas pri parto di la trezoro societala e di la profito di societo. ¶ II. La akto qua reprezentas singla di ta parti.		germana,franca,italiana,rusa,hispana	DFIRS	6	6	13	korektita
acipitro	zool	Rapt-ucelo jornala, qua ne flugas en la alta strati di atmosfero.	astur palumbarius			6	11	13	sen-lingui
acizo		Imposto di ula vari (nutrivi, e c.) ye la enireyo di urbo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	6	14	13	korektita
adaptar	trans., ad	. Unionar (kozo) ad altra kozo qua kon- venas a lu.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	6	17	13	
adenino	kemio	C5H5N5.				6	20	13	sen-lingui,korektita
adenito	patol	Inflamuro di la glandi o ganglioni limfala.				6	22	13	sen-lingui
adepto		Persono quan onu iniciis pri ula arto o doktrino.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	6	24	13	
adequata		(filoz.)Qua equivalas, esas adaptita, korespondas perfekte a la objekto (aludante penso, cienco, e c.p		germana,angla,franca,hispana	DEFS	6	27	13	
adherar	netrans., ad	I. Quaze glutinesar an ulo. ¶ II. (metaf.) Ligar su komplete ad opiniono, a partiso.		germana,angla,franca,italiana,hispana	DEFIS	6	30	13	korektita
adiar	trans	.I. Pronuncar la formulo di politeso kande onu su separas (de ulu). ¶ II. Pronuncar la formulo di renunco od abandono.		germana,angla,franca,italiana,hispana	DEFIS	6	33	13	
adiabata	fiziko	Quan kaloro povas permear.				6	37	13	sen-lingui,ordino-rompita
adicionar	matem	Adjuntar nombro ad un o plura nombri di la sama naturo, por unionar li ad una.		germana,angla,franca,italiana,hispana	DEFIS	6	39	13	korektita
adipocero	kemio	. Nomo olima di tri bbstanci quin onu kredis inter-identa, ma qui interdiferas esencale : spermaceto, la grasajo di la kadavri, e kolesterino (C27 H45 OH).				6	42	13	sen-lingui,korektita
adjektivo	gram	Vorto-speco qua expresas la eso-maniero.		germana,angla,franca,italiana,hispana	DEFIS	6	46	13	korektita
adjudikar	trans., ad	. I. (Yurocienco) Atribuar, per judi- cio, a la autoritato o persono qui esas kompetenta. ¶ II. (lor vendo) Atribuar a la persono qua ofras po lo la preco maxima. - DEFIS. adjurar. (trans., pri) Sumnar (ulu), ye la nomo di sakrajo ke lu agez ulo.		angla,franca	EF	6	49	13	korektita
adjutanto	armeo	.Oficiro qua servas generalo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	7	3	14	
