vedetto	fako	senci	nomi_latina	lingui	kodo	pagino	ligno	imago	drapeli
-eri-		Sufixo qua signifikas "butiko, butikego en qua onu ofras kom varo...", "establisuro ube onu (agas to o co)."				143	41	150	finalo-nekutima,sen-lingui,korektita,ordino-rompita
eriko	bot	Arbusto de la familio "erikacei", qua kreskas en la suli sabloza.	erica	germana,italiana,latina	DIL	143	44	150	korektita
eringo	bot	Genero de planto umbelifera, pikantoza. eryngium.				143	47	150	sen-lingui,korektita
eritroblasto	histol	Globulo reda prima, kun nukleo ed hemo- globino, quan onu renkontras dum la periodi di regenero di la anemii grava, en la kakexio, e mem quik pos la nasko. eritrocito. (histol.) Globulo reda nukleoza, di qua la divideso produktas la globuli reda sen-nuklea (hematii).				143	50	150	sen-lingui,korektita
eritrofila	biol	Qua prizas la koloro reda.				143	57	150	sen-lingui,korektita
erizipelo	patol	Influro surfacala di la pelo, kun ten- seso.		angla,franca,italiana,hispana	EFIS	144	3	151	
ermino	zool	Martro blanka, mamifero digitigrada di qua la pelo, kovrita subventre da pili blanka tre tenua, esas furo tre chera.	putorius ermineus	germana,angla,franca,italiana,hispana	DEFIS	144	6	151	
ermito	religio	. Solitaro, retretinta a loko dezerta, por ibe exercar su a pieso.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	144	10	151	
erodar	trans	Rodar per efiko korodiva.		germana,angla,franca,italiana,hispana	DEFIS	144	13	151	
erorar	netrans	I. Forirar de lo exakta. ¶ II. (pri dok- trino, opiniono).Ne esar konforma a lo exakta, a lo vera.		angla,franca,italiana,hispana	EFIS	144	15	151	korektita
erotika		Qua koncernas amoro.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	144	19	151	
erste		Ne ante (ta o ca dato, ta o ca evento).		germana	D	144	21	151	
erudar	trans., pri	.Exercar pri la cienco di la dokumen- ti qui koncernas ta o ca ek la savaji homala.		angla,franca,italiana,hispana	EFIS	144	23	151	korektita
eruptar	netrans	(pri kozo). Ekirar, desintrikar su bruske de to quo kontenas lu.		germana,angla,franca,italiana,hispana	DEFIS	144	26	151	korektita
ervo	bot	Genero de leguminosi, di qua la speco tipa esas la lentilio.	ervum	germana,angla,franca,italiana,hispana,latina	DEFISL	144	29	151	
-es-		Sufixo qua indikas la qualeso, la estado, la stando.				144	32	151	finalo-nekutima,sen-lingui,korektita,ordino-rompita
esar	netrans	Verbo qua ligas la atributo a la subjekto di la propoziciono, afirmante la qualeso di olca.		angla,franca,italiana,rusa,hispana	EFIRS	144	34	151	korektita
esamo		I. Grupo de abeli, de vespi, qui vivas socie. ¶ II. Grupo multa-membro de insekti. -(Anke metafore). FL.				144	37	151	sen-lingui,korektita,ordino-rompita
esayo		Libro en qua la autoro traktas surfacale temo, sen vizir a traktar lu profunde.		germana,angla,franca,hispana	DEFS	144	40	151	
esbosar	trans	Komencar laboro, verko, indikante lua formi, kolori, e c., sen par-facar ula ek li.		franca,italiana	FI	144	43	151	korektita
esenco		I. (filoz. e teol.)Quo konstitucas la fundo di la ento. ¶ II. Quo konstitucas la naturo propra di kozo. ¶ III. Quo konstitucas la parto maxim importoza di kozo. ¶ IV. Quo kontenas la efiko partikulara ye substanco.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	144	46	151	korektita
esforcar	netrans	Uzar sua vigoro por rezistar o por vin- kar rezistanto.		franca,italiana,hispana	FIS	144	52	151	
eshafodo		I. Konstrukturo qua subtenas la gradi por la spektanti. ¶ II. Konstrukturo sur placo publika, ube onu exekutas la morto-verdikti. ¶ III. Konstrukturo karpentura sur qua laboristi okupesas da la konstrukto, la reparo o la dekoro di la edifici.		germana,franca,italiana,rusa	DFIR	145	5	152	korektita
eshelono	armeo	.Personi, kozi, dispozita ye intervali.		franca	F	145	11	152	korektita
-esk-		Sufixo qua indikas "divenar", "komencar...".				145	13	152	finalo-nekutima,sen-lingui,korektita,ordino-rompita
eskadro	Navaro	.Asemblajo de milito-navi komande da admiralo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	145	15	152	
eskadrono	armeo	. Trupo de armeani kavaliera ; dividuro de regimento di la kavalrio, komandata da oficiro supra-grada.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	145	18	152	korektita
eskalar	netrans	(pri navo). Haltar en portuo, dum voyajo, por embarkar o desembarkar pasajanti o vari.		franca,italiana,hispana	FIS	145	22	152	korektita
eskaldar	trans	I. Brular per aquo varmega. ¶ II. Imersar en aquo bolianta.		angla,franca,hispana	EFS	145	25	152	
eskalero	en edifico	Serio de gradi sequanta, fixigita, uzata por acensar o decensar de etajo ad altra.		franca,italiana,hispana	FIS	145	28	152	
eskamotar	trans	Habile desaparigar objekto, per subtila pro- cedo qua eskapas la regardo de la spektanto.		germana,franca,hispana	DFS	145	31	152	
eskapar	trans	I. Tirar su de to, en quo onu retenesas. ¶ II. Cesar retenesar.		angla,franca,italiana,hispana	EFIS	145	34	152	korektita
eskaro	medic	Krusto nigratra, quan formacas la desorganizeso di la tisui en parto atakata da gangreno o da la efiko di korodivo.		angla,franca,italiana,hispana	EFIS	145	37	152	korektita
eskarbilo		Fragmento de terkarbono, ne par-kombustita e mixita a cindri.		franca,hispana	FS	145	41	152	ordino-rompita
eskarolo	bot	Varietato di cikorio kultivata, quan onu manjas kom salado.	lactuca scariola	germana,franca,italiana,hispana	DFIS	145	44	152	korektita
eskarpa		Di qua la pento esas preske vertikala.		angla,franca,italiana,hispana	EFIS	145	47	152	
eskartar	trans	I. Pozar (la parti di kozo) tale ke li kelke interdistas. ¶ II. Pozar kelka-diste de kozo, de persono. ¶ III. Forigar de la direciono quan onu devas sequar.		franca,italiana,hispana	FIS	145	49	152	
eskombro		To quo restas de objekto ruptita. -FIS. eskopeto. Speco di funel-fusilo, quan onu +weris bandolieratre.		franca,hispana	FS	145	53	152	korektita
eskorto		Trupo qua akompanas persono de loko ad altra, por surveyar lua sekureso o por honorizar lu per lo; kaptiton, por impedar lua eskapo ; konvoyon, por pro- tektar lu.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	146	3	153	korektita
eskoto	navo	. Grosa kordego manuo-movebla, fixigita an la angulo di basa segli por desvolvar od extensar li.		germana,franca,hispana	DFS	146	8	153	
eskrokar	trans	Furtar (ulo de ulu) per dupigar (lu). FI.				146	12	153	sen-lingui
eskudelo		Vazo kava, ligna, terakota o metala, e c., en qua onu servas buliono, supo, por manjar li.		franca,italiana,hispana	FIS	146	15	153	
eskupar	trans	Vakuigar per ligna shovelo kava (la aquo qua eniras la navi).		angla,franca	EF	146	18	153	korektita
-esm-		Sufixo qua signifikas la numero.				146	21	153	finalo-nekutima,sen-lingui,korektita,ordino-rompita
esmerilio	zool	Speco di falkono, remarkinda pro la mi- kreso di lua staturo, la lejereso di lua flugo e la rapideso di lua movi.	falco subbuteo	franca,italiana,hispana	FIS	146	23	153	
esotera	filoz	Qua esas la objekto di docado partikulara, intima.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	146	27	153	korektita
espado		Atak-armo, ek lamo akuta ek stalo, muntita aden man- che konkoza, e quan onu +weras an la flanko, en gaino.		franca,italiana,hispana	FIS	146	30	153	korektita
espalero		Muro garnisita maxim-multa-kaze ye lato-greto alonge qua onu plantacas frukt-arbori di qui la branchi esas aplikita a lu.		germana,angla,franca,rusa,hispana	DEFRS	146	34	153	korektita
esparo	navo	. Stango, min forta kam la masteto, qua su- portas la paviliono, ek qua onu facas la stangi per qui onu impedas la altra navi venar kolizionar od abordar atakoze.		germana,angla,franca	DEF	146	38	153	korektita
esparseto	bot	Planto foreja, analoga a la luzerno, di qua la floro esas granda, purpuratra e flavatra, e dis- pozita spike od axo-grape. - DEF. L. onobrychis sativa.				146	43	153	sen-lingui,korektita
esparto	bot	Gramineo qua kreskas en la nordo-parto di Afrika, di qua la stipeti uzesas por facar objekti diversa (chapelo-frami, e c.), papero, e c. L. stipa tenacissima. DEFIS.				146	47	153	sen-lingui,korektita
espelar	trans	Lektar la vorti literope, e formacante la silabi.		angla,franca	EF	146	52	153	
espino	bot	Arboreto dornoza.		franca,italiana,hispana	FIS	147	8	154	korektita
espineto	muziko	. I. Muzk-instrumento portebla, kordoza, quan on pleis per plumo-pinto. - II.Sorto di klavikordo, di qua la kordi agesis per pinto di korvo-plumo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	147	10	154	korektita,ordino-rompita
esplanado	armeo	. Tereno plata e nuda qua, en la fortifikaji, esas situita de la rempari a la domi di la urbo. ¶ II. Sulo- peco nuda, qua esas situita exter e portee di fortreso.		germana,angla,franca,italiana,hispana	DEFIS	147	14	154	korektita
espreso	Treno	qua iras rapide a sua destino-staciono, halt- ante intervale nur ye kelka stacioni.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	147	19	154	korektita
esprito		Vivaceso pikanta di la spirito.		germana,franca	DF	147	22	154	korektita
espruva		Qua ne lasas ...efikar a su.		angla,franca	EF	147	24	154	korektita
esquado		I. (armeo). Parto di kompanio de infantriani o de kaval- riani. ¶ II. Trupo de laboristi qui okupesas da tasko specala.		angla,franca,italiana,hispana	EFIS	147	26	154	korektita
esto		Un ek la quar punti kardinala, olta qua esas ube Suno su levas.		germana,angla,franca,hispana	DEFS	147	30	154	korektita
establisar	trans	I. Fondar kom duronta multa-tempe. ¶ II. Institucar.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	147	33	154	ordino-rompita
estado		Eso mentala, anmala, psikala, od aferala di la individuo koncernata. (estado civila : la situeso di persono kom filio legitima o ne-legitima, mariajita o celiba).				147	36	154	sen-lingui
estafeto		Kuriero qua portas la depeshi de ca a ta posto- kontoro..		germana,angla,franca,italiana,rusa,hispana	DEFIRS	147	40	154	korektita
estakado		Asemblajo de palisi, interligita da kateni, da ferstangi, e c., en la enireyo di portuo, di kanalo, por ba- rar lu.		franca,italiana,hispana	FIS	147	43	154	
estalar	trans	I. Expozar, sur surfaco plu o min granda, vari vend-ofrata. ¶ II. Extensar komplete sur surfaco. ¶ III. (metaf.) Expozar komplete kom regardenda.		franca	F	147	47	154	
estampar	trans	Markizar (metalo, ledro, petro-kartono) per la traco (reliefe o kave) di mulduro, di modelo, di matrico, di qua lu subisas la preso.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	147	51	154	
estanchar	trans	Haltigar la fluo di liquido.		angla,franca,hispana	EFS	147	55	154	korektita
estayo	navo	. Grosa kordego, tensita de la parto avana di la navo til la kapo di omna masto, por fermigar ica avane, quale la vanti fermigas lu dope.		angla,franca,hispana	EFS	147	57	154	korektita
estetiko		Parto di filozofio, qua traktas lo bela en naturo ed en arto.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	148	3	155	
estimar	trans	Opinionar favoroze pri la valoro (etikala, morala, karakterala) di persono.		germana,angla,franca,italiana,hispana	DEFIS	148	6	155	korektita
estivar	netrans	(pri la bestio-trupi). Vivar dum somero en la pastureyi di la monti.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	148	9	155	
estompar	trans	I. Dilutar la traci de krayono e pastelo, sur desegnuro, per rolero felo o papera, di qua la extre- maji esas ordinare pinta. ¶ II. Kovrar ye nuanco subtila.		germana,angla,franca	DEF	148	12	155	korektita
-estr-		Sufixo qua signifikas "chefo di", "mastro di".				148	17	155	finalo-nekutima,sen-lingui,korektita,ordino-rompita
estrado		Parto elevita super la planko-sulo di chambro, di chambrego, di salono, sur qua onu lokizas lito, trono, katedro, e c.		germana,angla,franca,rusa,hispana	DEFRS	148	19	155	
estragono		Planto herba, aromata, uzata kom kondimento.	artemisia dracuncules. DEFIRS			148	23	155	sen-lingui,korektita
estribo		Quaza triangulo de fero, pinta-baza, qua,suspendate an singla latero di la selo per rimeno, subtenas la pedo di la kavalkanto.		franca,hispana	FS	148	26	155	korektita
estuario	geogr	Larja ekflueyo di fluvio, gulfatra.		germana,angla,franca,italiana,hispana	DEFIS	148	30	155	
estublo		Parto di la stipo qua restas stacanta kande onu falchas la frumento, la sekalo.		germana,angla,franca,italiana	DEFI	148	33	155	
esturjono	zool	Grosa fisho qua iras de la mari a la granda fluvii, e di qua la ovi uzesas por facar kaviaro.	acipenser Huso	angla,franca,italiana,hispana	EFIS	148	36	155	korektita
esvanar	netrans	Ne plus konciar sua vivo.		franca,italiana	FI	148	40	155	korektita
etajo	arkitekt	En domo, en edifico, konsistanta ye plura apartmenti superpozita : omna parto sama-nivela.		germana,angla,franca,rusa	DEFR	148	42	155	korektita
etajero		Moblo ek montanti qui portas tabuleti horizontala, dispozita etaje, sur qui onu pozas libri, art-objekti, e c.		germana,franca,rusa	DFR	148	45	155	ordino-rompita
etalono		I. Tipo legale di la mezurili e ponderili. ¶ II. (financo). Metalo selektita por la fabriko di la moneto- peco qua uzesas kom tipa unajo di omna moneto-peci di la lando koncernata.		franca	F	148	49	155	
etamino		Stofo ek lano lejera. - Lanajo, krinajo,quan onu uzas por blutar. - DEFIRS. etapar. (netrans.) (pri armeo). Haltar en loko ube la trupi marchanta repozos dum nokto.		germana,franca,italiana,rusa,hispana	DFIRS	149	5	156	korektita
etato		To quo konstatas la estado di la kozi en ta o ca ins- tanto.		germana,franca,italiana,hispana	DFIS	149	11	156	korektita
etero		I. La parto maxim subtila di atmosfero, ye qua (krede da la antiqui) konsistas fairo. ¶ II. (fiziko).Fluido ne- ponderebla, di qua ula fizikisti konjektis la existo por explikar la fenomeni "foto" e "kaloro". ¶ III. (kemio). Liquido volatila qua produktas la alkoholi kande onu de- prenas de li equivalanto ek aquo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	14	156	korektita
eterna		I. Qua nek komencis nek finos. ¶ II. Qua ne finos. ¶ III. Di qua la fino-instanto ne esas previdebla.		angla,franca,italiana,hispana	EFIS	149	21	156	korektita,ordino-rompita
etiko		I. La cienco pri la mori. ¶ II. Traktato pri ta cienco.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	24	156	
etiketo		Indiko-texto fixigita sur objekto, por savigar la naturo, la kontenajo, la preco, la destineso, e c. di ica.				149	27	156	sen-lingui,korektita,ordino-rompita
etimologio		Decendo de vorto relate un o plura vorti altra de qui lu derivesas.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	31	156	
etiolar	trans	I. Igar (planto) febla e senkolora per kresk- igar lu en loko obskura. ¶ II. Igar (persono) febla e pala, per privacar lu de aero libera, de korp-exercado.		angla,franca,latina	EFL	149	34	156	korektita
etiologio		I. (filoz.) Exploro di la kauzi. ¶ II. (medic.) La parto di medicino, en qua onu exploras la morbi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	38	156	korektita
etmoido	anat	(Osto kraniala) di qua la lamo supra esas truoza, inkastrita en la sesguro infra di la osto frontala, e qua kontributas a formacar la naztrui.		germana,angla,franca	DEF	149	41	156	korektita
etnografio		Deskripto di la populi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	45	156	
etnologio		Cienco di la origino e di la deveno di la populi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	47	156	korektita
etologio		Cienco di la mori. - Traktato pri la mori.				149	50	156	sen-lingui
etuyo		Sorto di buxo adaptita a la formo di la objekto quan lu kontenos.		germana,franca,italiana,hispana	DFIS	149	52	156	korektita
eudiometro		Instrumento uzata por determinar la proporcion di la parti qui kompozas aero od irgaltra mixuro de gasi.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	149	55	156	korektita
eudiometrio		Analizo di aero, di mixuri de gasi, per eudio- metro.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	150	3	157	ordino-rompita
eufemismo		Figuro de vorti, qua konsistas ye diminutar - per la termino o la frazoformo quin onu uzas - to quo esas shokiva en la vorto propra.		germana,angla,franca,italiana,hispana	DEFIS	150	6	157	
eufonio		Sorgo por evitar la soni orelo-harda en la pro- nunco.		germana,angla,franca,italiana,hispana	DEFIS	150	10	157	
euforbio	bot	Planto di qua la suko esas laktatra, akra e korodiva.	euphorbia			150	13	157	sen-lingui,korektita
eukalipto	bot	Arboro balzamoza, de la familio "mirtacei", deveninta de Oceania, di qua la ligno esas veinoza,e la folii uzata kom astriktivo e kontre-febro. - lyptus.	euca	germana,angla,franca,italiana,hispana	DEFIS	150	16	157	korektita
eukaristio	religio kristana	. Sakramento di la religio katolika, qua kontenas substancale la korpo, la sango, la anmo e la deeso di Iesu-Kristo, en la formo di pano e di vino, por servar a la fideli kom nutrivo anmala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	150	21	157	
eunuko		I. Viro kastrita, di qua la ofico, en Oriento, kon- sistis ye surveyar la mulieri en la haremi. ¶ II. Viro igita nekoitiva.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	150	27	157	korektita
evar	trans	Existar de (ta o ca quanto de tempo).		latina	L	150	31	157	
evakuar	trans	I. (medic.) Ekpulsar (materii akumulita en parto di la korpo). ¶ II. Forsendar amase (la personi qui okupas loko).		germana,angla,franca,italiana,hispana	DEFIS	150	33	157	ordino-rompita
evaluar	trans., ye	. Determinar aproxime la valoro o la quanto, per kalkulo o konjekto.		angla,franca,italiana,hispana	EFIS	150	37	157	
evangelio	religio kristana	.I. Doktrino e lego da Iesu- Kristo. ¶ II. Singla de la libri (4) ube raportesas la biografio di Iesu-Kristo, lua doktrino e lua lego.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	150	40	157	korektita
eventar	netrans	Divenar fakto.		angla,franca,italiana	EFI	150	45	157	
eventuala		Qua povas eventar, realeskar, se ula cirkons- tanci existas.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	150	47	157	
evidenta		Qua posedas ta klareso quan la exaktaji prizentas a la spirito.		germana,angla,franca,italiana,hispana	DEFIS	150	50	157	
eviero		Speco di tablo kava, o kuvo ek petro o ceramikajo, sur qua onu lavas (generale en koqueyo) e qua havas truo por la ekfluo di la aquo reziduo.		franca	F	150	53	157	korektita
eviktar	trans	(yuro-cienco). Expropriar legale, kun la yuro a rekurso kontre la vendinto, ta qua aquiris sincere to quon onu ne havis la yuro vendar a lu.		franca	F	151	6	158	korektita
evitar	trans	Probar ne-renkontror (ulu) o ne atingesor ( ulo).		angla,franca,italiana,hispana	EFIS	151	10	158	korektita
evolucionar	netrans	I. Manovrar turnante cirkum su. ¶ II. Parkurar la ciklo di sua developeso.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	151	13	158	korektita
ex-		Prefixo qua signifikas "qua ne plus esas".				151	16	158	finalo-nekutima,sen-lingui,korektita
		"ex libris" Enskriburo da ulu sur la libri di sua biblioteko, por indikar ke li apartenas a lu ; ta enskriburo, maxim- multa-kaze, agesas per la glutino di desegnuro artala sur papero-folio, kun indiko di la nomo di la proprietanto. exajerar. (trans.) Igar ulo transirar la limiti qui konvenas, parole, pense, age.		angla,franca,italiana,hispana	EFIS	151	18	158	sen-vedetto,korektita
exakta		Rigoroze konforma a la fakti.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	151	26	158	korektita
exaltar	trans	I. Laudar (la merito di ulu) til alta grado di glorio. ¶ II. Developar (sentimenti di la psiko) ad alta grado di intenseso.		germana,angla,franca,italiana,hispana	DEFIS	151	28	158	korektita
examenar	trans	Submisar (kandidato) ad experimenti por sav- eskar lua valoro.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	151	32	158	
exantemo		Erupto pelala.		germana,angla,franca,italiana,hispana	DEFIS	151	35	158	
exarko	epoki antiqua	. Reprezentero di la imperiestro di Oriento en provinco fora. ¶ II. (nun). Reprezentero di la patriarko di Konstantinoplo (Istanbul) komisita por vizitar la provinci.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	151	37	158	korektita
exasperar	trans	I. (medic.)Igar (morbo) atingar sua kolmo. II. Igar (ulu) atingar la kolmo di la iriteso psikala. ¶ III. Bitrigar extreme la humoro per irito troa.		angla,franca	EF	151	42	158	korektita
exaucar	trans	I. Satisfacar (ulu) per grantar a lu to quo esas la objekto di lua deziri, di lua pregi. ¶ II. Efektigar (la deziro, la prego, difAu.) F.				151	46	158	sen-lingui,korektita
exegezo		Interpreto di texto (historiala, yurala, e c.)		germana,angla,franca,italiana,hispana	DEFIS	151	50	158	korektita
exekutar	trans	Efektigar to quo konsequas (de rezolvajo, de projetajo, de verdikto).		germana,angla,franca,italiana,rusa,hispana	DEFIRS	151	52	158	
exemplo		I. Maniero esar, agar, di ulu, konsiderata kom im- itinda. ¶ II. La persono qua esas, agas, tale. ¶ III. To quon subisas ulu (desfortuno, puniseso, e c.), egard- ata kom apta donar leciono. ¶ IV. La persono qua subisas ta desfortuno, ta puniso. ¶ V. To quo eventis, konsider- ata kom komparo-termino pri to simila quo povas eventar. ¶ VI. Fakto quan onu mencionas sekonde di aserto. - VII. Extraktajo di texto quan onu citas, sekonde di expli- ko gramatikala.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	152	3	159	
exemplero		I. Singla de la objekti formacita per tipo unika quan onu reproduktis. ¶ II. Singla de la specimeni di un speco o di un varietato en kolektajo zoologiala, botanik- ala, mineralogiala. DEFIRS.				152	13	159	sen-lingui,ordino-rompita
		"exequatur". I. (Yuro-cienco). Permiso legala necesa por ke verdikto da arbitri, da tribunali, stranjera divenez exe- kutebla. ¶ II. Permiso quan bezonas aganto stranjera por exekutar en la lando la misiono quan konfidis a lu lua guvernistaro.				152	18	159	sen-vedetto,sen-lingui,korektita
exercar	trans	Formacar, fasonar (ulu) por igar lu prakti- kar.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	152	24	159	
exergo	numismatiko	. Spaco rezervita maxim-multa-kaze en la infra parto di medalio, por recevar surskriburo (moto, devizo, dato, e c.)		germana,angla,franca,italiana,hispana	DEFIS	152	27	159	
exfoliar	trans	Deprenar foliope, lamelope (ula parti di substanco).		germana,angla,franca,italiana,hispana	DEFIS	152	31	159	korektita
exhalar	trans	I. Emisar (gaso, vaporo, odoro). ¶ II. (pri animali, vejetanti). Lasar eskapar tra la tisui ula elementi eliminata de la organismo. ¶ III. (metaf.) Lasar eskapar (sentimenti).		angla,franca,italiana,hispana	EFIS	152	34	159	korektita
exhaustar	trans	I. Sikigar per par-cherpo. ¶ II. Vendar la lasta exemplero (di libro, e c.). ¶ III. Igar febla kom- plete. ¶ IV. (logiko). Enumerar omna kazi, omna hipotezi po- sibla di temo. ¶ V. (matem.)Uzar la procedo qua posibligas neglijar la difero inter du grandori, per pruvar ke la di- fero esas infinite mikra.		angla,franca,italiana	EFI	152	39	159	korektita
exhortar	trans., pri	Probar igar (ulu) volar ulo, per dis- kursi persuadiva.		angla,franca,italiana,hispana	EFIS	152	46	159	korektita
exilar	trans	Koaktar (ulu) a livar lua patrio, interdikt- ante a lu retrovenor en olu.		germana,angla,franca,italiana	DEFI	152	49	159	korektita
exino	biol	Strato extera, transformita a kutino (C6 H10 O) e neegale dikeskinta (pinti e kresti, pori e plisuri), di poleno-grano.				152	52	159	sen-lingui,korektita
existar	netrans	Apartenar a la nuna realaji.		germana,angla,franca,italiana,hispana	DEFIS	153	6	160	korektita
exkavar	trans	Facar, kavigante.		angla,franca,italiana,hispana	EFIS	153	8	160	korektita
exkluzar	trans	I. Pozar (ulu) exter kozo kom ne esante plu partoprenonta olu. ¶ II. Retropulsar (kozo) kom nekonciliebla kun altro.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	153	10	160	korektita
exkomunikar	trans	(religio kristana). Forjetar (ulu) de la komuniono (katolika).		germana,angla,franca,italiana,rusa,hispana	DEFIRS	153	14	160	korektita
exkoriar	trans	(medic.) Skrachar surfacale, entamante nur la pelo.		angla,franca,italiana,hispana	EFIS	153	17	160	korektita
exkremento	fiziol	Materio liquida o solida (sudoro, muko nazala, urino, feko) quan ula organi ekpulsas de la korpo. DEFIRS.				153	20	160	sen-lingui,korektita
exkursar	netrans	Cirkular explorante ula quanto de la surfaco, de la areo di lando.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	153	23	160	
exkuzar	trans	Alegar,favore di ulu,motivi por mingravigar to quon onu reprochas a lu, o por justifikar lu pri lo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	153	26	160	
exodo		I. (pri la Hebrei antiqua).. Libro duesma di Biblo, qua kontenas la historio di la ekiro de Egiptia. ¶ II. (metaf.) Ekmigro grand-amase de populo.		germana,angla,franca,italiana,hispana	DEFIS	153	29	160	korektita
exogena	bot	Di qua la kresko eventas adexter su ipsa, per la strati extera.				153	33	160	sen-lingui
exorcisar	trans	(teol. kristana). Agar a la demoni (por expul- sar li de la korpo di demonozi), od a la demonozo, la pregi, la ceremonii di la eklezio katolika.		germana,angla,franca,italiana,hispana	DEFIS	153	36	160	korektita
exordiar	trans	(retoriko). Pri diskurso : komencar, preparante la atenco e la afableso-sentimenti.		germana,angla,franca,italiana,hispana	DEFIS	153	40	160	
exostoso		I. (medic.) Surkreskajo morbala sur la surfaco od interne di osto. ¶ II. (bot.) Surkreskajo sur la trunko, la branchi di ula arbori.		germana,angla,franca	DEF	153	43	160	korektita
exotera		I. (filoz.) Dicesis pri la dicipuli qui vartis sua inicieso pri ula doktrini neprofunda - pri ula libri kompozita tale ke lia kontenajo esis komprenebla da la plebeyo. ¶ II. (okultismo). Dicesas pri la docajo quan onu darfas divulgar ad omna homi.- DEFIRS. - " " "- "" " " "-"- - " -- -- --""				153	47	160	sen-lingui,korektita
expansar	netrans	I. (cienco). Agar ta movo per qua gaso, vaporo dilatesas ; agar ta movo per qua parto organa deve- lopesas, divenas plu voluminoza, o transformesas ad altra parto organa. ¶ II. (metaf.) Agar ta movo per qua la kordio, vice konstriktar sua sentimenti, difuzas li adextere. -Movo per qua ula doktrini, ula idei, kreskas ed atraktas adheranti kontinue plu multa.		germana,angla,franca,italiana,hispana	DEFIS	154	2	161	
expediar	trans	Sendar ulo (ordinare vari) a destinario.DEFIRS				154	10	161	sen-lingui,korektita
expedicionar	trans	Sendar homi, komisar li, por militar o por explorar regiono.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	154	12	161	
expektar	trans	Mente anticipar ula evento.		angla,franca,italiana,hispana	EFIS	154	15	161	
expektorar	trans	Ekjetar de la tubi respirala, per la boko.		germana,angla,franca,italiana,hispana	DEFIS	154	17	161	korektita
experiencar	trans	Konocar (ulo), savar (pri ulo) per uzir lu praktikale.		angla,franca,italiana,hispana	EFIS	154	20	161	korektita
experimentar	trans	e (netrans., pri, per). En la observo- cienci : operaco quan onu agas por verifikar o por demons- trar ulo per praktiko. - DEFIRS.				154	23	161	sen-lingui
experta		Qua savas tre multe (pri ulo) per praktikado.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	154	27	161	
expertizar	trans	Submisar a la evaluo da experti.- DEFIRS. (Pri experti) Evaluar la preco, la qualesi di (ulo).				154	30	161	sen-lingui,korektita
expiacar	trans	I. Lavar per ceremonio religiala, per sakrifiko (krimino pro qua onu esas despurigita.) II. Repa- rar (peko, krimino) per puniseso.		germana,angla,franca,italiana,hispana	DEFIS	154	32	161	korektita
expirar	netrans	I. Ekpulsar de la pulmoni (la aero qua uzesis por respiro). ¶ II. (pri vejetanti)Restitucar ad aero (pos prenir de lu ula elementi gasa) ti ek la elementi qui esas eliminenda de la organismo. ¶ III. (metaf.) Cesar exis- tar o cesar validesar.		germana,angla,franca,italiana,hispana	DEFIS	154	36	161	korektita
explicita		Par-enuncita.		germana,angla,franca,italiana,hispana	DEFIS	154	42	161	
explikar	trans	I. Klarigar per developo (la senco di ulo). ¶ II. Justifikar fakto.		germana,angla,franca,italiana,hispana	DEFIS	154	44	161	
explorar	trans	I. Observar minucioze e detaloze, esforcante penetrar til la esenco di la kozi. ¶ II. Parkurar (lando) studiante sorgoze, por skopo ciencala, strategiala, e c.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	154	47	161	korektita
