page	ligne	col	lu	corrige	vedette lue	vedette retenue	precedente	suivante
150	32	5	o	c	ergoto	ergotc	ergatoplasmo	ergotino
151	37	3	m	s	esamo	esaso	esar	esayo
155	23	4	o	a	estrogono	estragono	estrado	estribo
155	45	4	e	s	etajero	etajsro	etajo	etalono
156	24	4	o	c	etiko	etikc	eterna	etiketo
156	41	0	a	e	atsoido	etmoido	eticlogio	etnografio
156	41	2	s	m	atsoido	etmoido	eticlogio	etnografio
158	40	0	d	e	dxegezo	exegezo	dxssperar	exekutar
160	47	1	s	x	esotera	exotera	exostoso	expansar
161	20	1	s	x	esperiencar	experiencar	expektcrar	experimentar
165	7	4	o	e	fakto	fakte	faksimiio	faktitivo
165	14	6	o	c	faktoro	faktorc	faktitivo	faktorio
169	2	3	o	c	fato	fatc	fasonar	fatigar
169	11	3	o	c	fauoo	fauco	fatua	fauno
169	24	3	o	c	fayo	fayc	favorar	fayenco
171	14	3	o	c	fero	ferc	fenomenologio	ferdeko
171	29	4	e	a	fermento	fermanto	ferma	fermentacar
172	5	3	o	b	feto	fetb	festuko	fetida
173	37	3	a	s	fikario	fiksrio	fiko	fiktiva
174	7	5	i	t	filetika	filettka	fileto	filharmonio
174	49	7	o	e	filozofo	filozofe	filoxero	filozofiar
175	32	3	m	a	firmo	firao	fiorituro	firmamento
178	11	4	o	c	floro	florc	floko	florino
179	49	4	o	c	folio	folic	folado	folietono
180	21	1	e	m	fendar	fmndar	fkmo	fonetiko
180	47	1	o	e	fonto	fento	fenosetric	fontanelo
182	50	1	m	o	fmsfo	fosfc	fosato	fosfeno
182	50	4	o	c	fmsfo	fosfc	fosato	fosfeno
183	14	3	o	c	foto	fotc	fosto	fotelo
183	39	8	o	c	fotometro	fotometrc	fotolitografar	fotometrio
183	42	4	m	s	fotometrio	fotosetrio	fotometro	fotosfero
184	19	1	o	c	foyero	fcyero	fcyc	fnsciono
184	27	4	o	c	frago	fragc	fnsciono	fragmento
185	49	4	o	c	frazo	frazc	frayo	frazeologio
186	33	3	s	e	lkmskou	lkmekou	dkmmlm	lkmhar
188	21	2	c	o	fkctar	fkotar	fkostar	fruo
188	24	3	o	a	fruo	frua	fkctar	frugala
190	53	1	m	u	fmriero	furiero	furiar	furnele
193	14	5	i	t	galerio	galerto	galero	galeto
194	6	1	m	a	smlvanometro	salvanometro	gmlvanizar	salvanoplastar
195	26	6	o	c	gardeno	gardenc	gardar	gardenio
195	53	3	n	p	garnizono	garpizono	garoituro	smroto
196	6	0	s	l	smroto	lmroto	garnizono	sarsono
197	11	2	i	"	gei	ge"	gazono	geblo
197	43	4	r	o	genero	geneoo	genealogio	generaciono
198	48	7	o	c	geografo	geografc	geognozio	geografio
202	15	4	o	c	slano	slanc	sladiclo	slando
202	26	0	g	s	glata	slata	slaso	slaukomo
205	44	3	o	c	goto	gotc	gorjereto	gotlka
215	37	4	o	c	harpo	harpc	harneso	harpio
216	24	0	h	b	hefo	befo	bedero	bmmo
223	20	9	o	c	hidroskopo	hidroskopc	hidroquinono	hidroskopio
223	35	4	o	a	hiero	hiera	hieno	hierarkio
229	3	1	o	b	homilio	hbmilio	bemerals	hcmecermrcu
229	48	0	h	n	hcnorario	ncnorario	honoro	nun
231	15	0	h	b	huo	buo	bosto	hufo
232	6	0	h	b	hurdo	burdo	bhura	buronala
233	33	3	o	c	ideo	idec	idantc	identa
237	30	6	a	s	importacar	importscar	importar	impostar
239	17	5	o	c	indico	indicc	indexo	indiciono
239	42	2	i	d	iniijena	indijena	indijar	indikar
240	27	1	n	r	industrio	irdustrio	iniiviiuo	lndutar
240	51	1	r	n	irferar	inferar	infektar	inferiora
248	39	4	o	c	inulo	inulc	intusucepoiono	inulino
249	9	4	n	o	inventar	inveotar	inventsriar	inversa
254	42	1	u	m	humr	hmsr	hmmuc	hudarmo
254	42	2	m	s	humr	hmsr	hmmuc	hudarmo
260	13	3	s	a	kakstuo	kakatuo	kakao	kakexio
260	48	5	n	p	kalcinar	kalcipar	kalcio	kaldiero
262	33	0	k	l	kmloriko	lmloriko	lalorio	lmlorimetro
263	46	2	n	a	kanalo	kaaalo	aambrar	kameleono
265	19	5	o	c	kanalo	kanalc	kanabino	kanalio
265	25	5	i	t	kanalio	kanalto	kanalo	kanapeo
269	11	5	o	c	kapono	kaponc	kapitulo	kaponiero
269	27	4	o	c	kapro	kaprc	kapoto	kapreolo
274	10	1	a	m	karnivoro	kmrnivoro	kmrnavalo	kmronado
276	3	5	a	z	kartuaio	kartuzio	kartusho	kmrubo
277	54	1	a	e	katakaustika	ketakaustika	katofalko	kmtaklismo
279	22	5	o	c	kateto	katetc	kateno	katetero
280	57	2	s	z	kaso	kazc	kayero	kazeo
280	57	3	o	c	kaso	kazc	kayero	kazeo
281	6	4	o	c	kazeo	kazec	kaso	kazeino
282	26	0	l	k	larlo	kerlo	keratino	kmrseso
