# forme fautive -> forme retenue (attestee dans le livre)
rezistivo	rezistiva
rezolvor	rezolvar
ridar	vidar
rigoro	vigoro
riskoza	viskoza
ritma	ritmo
rito	vito
rodio	radio
roka	roko
romano	romana
rondo	ronda
rotaca	rotaco
ruptor	ruptar
sabla	sablo
sado	sudo
sanga	sango
sar	sur
sekreto	sekreta
sente	sento
serjo	serio
serpenta	serpento
serva	servo
serve	servo
sezone	sezono
silogisma	silogismo
simbola	simbolo
simbole	simbolo
sirope	siropo
sisar	sizar
skale	skalo
skopa	skopo
slango	stango
slipo	stipo
soldata	soldato
solo	sola
somo	sono
sorgor	sorgar
spano	stano
sprato	strato
stal	stat
stana	stano
standa	stando
stero	sfero
stipa	stipo
stipita	stipito
stolo	stalo
storo	sporo
studia	studio
subisor	subisar
subsulo	subsula
sude	sudo
sukra	sukro
suna	suno
suo	sua
supe	supo
suportila	suportilo
suportor	suportar
surveyor	surveyar
sut	sat
suverene	suvereno
tabeto	tabelo
tago	pago
tako	fako
tar	par
tarino	farino
tarti	parti
taso	paso
tedo	pedo
teko	peko
tektar	lektar
tenso	penso
termina	termino
testi	texti
texta	texto
tilio	filio
tineo	lineo
tipulo	titulo
toko	loko
tomo	temo
tona	tono
tondita	fondita
topo	toto
torno	forno
transporte	transporto
trapo	trupo
triangule	triangulo
tribunala	tribunalo
trom	troa
trotar	frotar
trupa	trupo
trusar	trasar
tufa	tufo
tunelo	funelo
tuno	luno
tuyo	tayo
ucela	ucelo
umo	uno
uretra	uretro
uui	uni
uzos	uzas
uzota	uzata
varsor	varsar
varto	vorto
vato	voto
veda	reda
vehas	venas
vekto	rekto
velas	volas
vende	vendo
ventra	ventro
ventre	ventro
vesta	vesto
vide	vido
vilo	vito
vira	viro
viskozo	viskoza
vita	vito
vizaja	vizajo
voca	voco
voli	roli
volumina	volumino
votas	volas
voti	roti
vovi	voyi
warpe	warpo
yarcenta	yarcento
yitro	vitro
yolo	volo
zumo	sumo
