page	ligne	col	lu	corrige	vedette lue	vedette retenue
378	17	2	e	a	giesmou	giasmou
378	22	0	s	g	sigelo	gigelo
378	33	0	s	g	sieno	gieno
379	32	0	s	m	sikrono	mikrono
379	36	0	s	m	sikronukleo	mikronukleo
381	24	3	c	e	mincstrelo	minestrelo
383	21	0	s	m	sirto	mirto
383	24	0	m	s	mirtelo	sirtelo
385	2	3	o	c	modo	modc
387	4	1	c	o	mcnadcq	monadcq
387	12	0	s	m	sonadologio	monadologio
387	14	2	h	n	mohakc	monakc
387	17	5	k	E	monarko	monarEo
387	40	0	s	m	soneto	moneto
389	36	4	o	c	morbo	morbc
391	13	3	o	c	moso	mosc
391	19	4	o	c	mosko	moskc
391	30	3	o	c	moto	motc
391	34	3	a	e	motaoilo	moteoilo
392	8	0	s	m	suar	muar
392	28	3	o	e	sufo	sufe
392	46	0	s	a	smko	amko
392	49	0	s	e	salo	ealo
396	32	0	p	t	pafto	tafto
396	35	0	r	n	raftalino	naftalino
396	40	1	m	a	nmkarato	nakarato
396	50	3	o	c	nano	nanc
398	34	2	s	g	nesro	negro
398	55	6	o	c	nektaro	nektarc
400	17	1	e	m	neurono	nmurono
400	20	1	e	a	neutrs	nautrs
403	42	1	c	o	ncrdo	nordo
405	17	5	o	c	nukleo	nuklec
405	28	0	h	n	hukleolo	nukleolo
405	35	4	r	p	numero	numepo
405	52	0	o	n	oun	nun
407	50	1	b	h	obligaciono	ohligaciono
407	55	1	b	h	obliqua	ohliqua
408	14	0	o	c	oblonga	cblonga
408	23	0	o	c	observar	cbservar
408	31	0	o	c	obskurantismo	cbskurantismo
408	43	0	c	o	cbsoleto	obsoleto
408	52	0	c	o	cbstruktar	obstruktar
409	15	0	c	o	cceano	oceano
409	18	1	o	c	ooiar	ociar
410	6	0	o	g	odorar	gdorar
410	9	0	p	n	pfensar	nfensar
410	35	3	e	a	ofte	ofta
410	38	0	c	o	cftalmio	oftalmio
410	40	0	c	o	cftalmologio	oftalmologio
412	5	3	g	a	oligerkc	oliaarkc
412	5	4	e	a	oligerkc	oliaarkc
412	7	3	g	a	oligarkio	oliaarkio
412	33	1	s	m	osisar	omisar
412	36	0	c	o	cmleto	omleto
412	39	3	o	a	omno	omna
413	34	1	o	n	oovono	onvono
414	9	0	o	c	omaka	cmaka
414	11	1	p	g	opalo	ogalo
414	48	3	r	o	oportuna	opootuna
415	33	0	o	c	orangutano	crangutano
415	41	3	t	p	oratoro	oraporo
415	54	3	e	s	ordeno	ordsno
418	9	1	m	s	smrimento	ssrimento
418	21	1	u	m	outcdoxa	omtcdoxa
418	24	1	u	m	outogenezo	omtogenezo
419	31	3	e	s	ostensorio	ostsnsorio
419	35	1	s	a	ostentar	oatentar
419	38	3	e	a	osteoblasto	ostaoblasto
422	16	1	s	a	pschulio	pachulio
422	20	1	m	e	pmcienta	pecienta
422	31	1	m	a	pmf	paf
422	40	4	n	s	pagano	pagaso
422	43	1	e	a	pegayc	pagayc
423	21	4	o	c	palaoo	palaco
423	27	6	o	c	paladio	paladic
423	54	4	e	o	paleesoologio	paleosoologio
424	24	1	m	s	pmlisado	pslisado
424	42	4	o	c	palmo	palmc
425	56	4	o	c	panio	panic
426	14	8	o	c	pankreato	pankreatc
426	17	1	e	a	penkreatitc	pankreatitc
426	33	1	s	a	psntalono	pantalono
427	53	4	i	a	parai	paraa
428	4	1	m	a	pmradizoo	paradizoo
428	10	5	o	c	parafo	parafc
429	34	6	o	c	parento	parentc
430	5	1	m	a	pmrkou	parkou
430	10	1	m	a	pmrlamento	parlamento
430	36	1	s	a	psrcromiazo	paroromiazo
430	36	3	c	o	psrcromiazo	paroromiazo
432	36	4	o	c	pasto	pastc
434	11	4	o	c	patro	patrc
434	39	1	e	a	petrologio	patrologio
435	48	2	d	u	pedagogio	peuagogio
435	50	1	e	s	pedanto	psdanto
435	52	1	e	s	pederasto	psderasto
436	10	1	e	a	pedonklo	padonklo
436	55	3	c	a	pelc	pela
437	18	3	t	i	peltkulo	pelikulo
437	44	1	e	s	penacno	psnacno
438	51	2	c	o	pecnio	peonio
439	2	1	a	e	papsino	pepsino
440	39	6	o	c	perkalo	perkalc
441	25	5	o	c	perono	peronc
441	32	1	a	e	paronosporo	peronosporo
442	54	2	e	s	peeimismo	pesimismo
443	24	4	o	c	petro	petrc
444	49	5	o	c	pigmeo	pigmec
446	9	1	i	l	pilorio	pllorio
446	20	1	i	t	pimento	ptmento
446	28	0	p	o	pino	oino
446	37	4	o	c	pinco	pincc
447	12	4	a	s	pintado	pintsdo
447	20	4	o	c	piono	pionc
447	27	3	o	c	pipo	pipc
449	2	4	s	a	pistsr	pistar
449	5	4	a	o	pistacho	pistocho
449	27	3	c	o	pitcno	pitono
449	31	4	h	p	pitohiso	pitopiso
449	47	2	a	z	piao	pizo
449	51	4	o	c	placo	placc
450	26	1	l	1	plajiar	p1ajiar
450	29	1	l	1	plako	p1ako
450	32	3	n	h	plano	plaho
450	48	9	o	c	planimetro	planimetrc
453	29	4	h	n	pleohasmo	pleonasmo
453	53	5	o	c	plevro	plevrc
455	13	3	s	m	pluspa	plumpa
456	2	1	c	o	pcdoido	podoido
456	8	4	o	c	poeto	poetc
457	5	3	l	i	pollfonio	polifonio
459	2	3	p	n	pompo	pomno
459	27	4	o	e	ponto	ponte
459	45	4	o	e	poplo	pople
459	48	0	o	p	ooplino	poplino
460	7	5	a	s	populara	populsra
460	44	4	o	c	porko	porkc
461	27	5	o	c	portuo	portuc
462	33	1	o	c	potaso	pctaso
462	56	1	c	o	pczar	pozar
463	18	7	o	c	pragmato	pragmatc
465	24	5	c	o	premici	premioi
465	47	2	s	e	prsrogativo	prerogativo
466	18	6	r	g	prestar	prestag
466	22	6	c	o	prestaciono	prestaoiono
472	12	2	c	o	prcnta	pronta
472	55	2	e	o	prepretere	propretere
473	31	7	o	c	prostato	prostatc
475	28	3	k	v	prokerbc	proverbc
475	31	4	t	i	provtdenco	providenco
475	36	4	t	i	provtnco	provinco
476	2	4	o	c	prozo	prozc
476	14	3	o	c	pruo	pruc
477	2	4	o	c	psiko	psikc
478	19	3	o	c	pulo	pulc
478	23	4	o	c	pulco	pulcc
478	31	4	o	c	puliou	pulicu
479	53	3	o	c	pupo	pupc
481	33	7	o	c	quadrato	quadratc
482	5	0	q	c	quadriliono	cuadriliono
482	7	0	q	c	quadriremo	cuadriremo
483	5	5	e	a	quartero	quartaro
484	31	0	q	o	quino	ouino
486	12	1	s	a	rsbatar	rabatar
486	17	1	s	a	rsbio	rabic
486	17	4	o	c	rsbio	rabic
486	42	4	o	a	radioI	radiaI
490	7	0	o	g	oestaquero	gestaquero
490	21	3	a	e	ratafic	ratefic
490	54	3	c	o	ravc	ravo
493	2	5	e	a	referer	referar
493	15	3	l	i	reflektoro	refiektoro
493	20	3	l	i	refluxar	refiuxar
495	10	3	o	c	rejo	rejc
495	23	3	o	a	rekolkar	rekalkar
495	37	5	m	s	reklamacar	reklasacar
496	9	3	c	o	rekcrtar	rekortar
497	19	2	I	l	reIiefo	reliefo
497	28	4	r	I	remarkar	remaIkar
501	25	4	n	h	resonar	resohar
501	30	4	r	I	resorbar	resoIbar
501	33	4	r	I	resorto	resoIto
502	23	1	m	e	rmtablc	retablc
503	29	3	e	a	reveodlkaI	revaodlkaI
504	26	2	a	z	reaa	reza
506	2	2	E	R	riEida	riRida
506	6	1	i	l	riglc	rlglc
506	11	0	r	I	rikcohaI	IikcohaI
506	53	0	s	l	sigkar	ligkar
507	30	3	o	b	rivo	rivb
507	33	3	a	e	rivalo	rivelo
507	51	3	o	c	robo	robc
508	38	3	a	s	rogacicni	rogscicni
508	42	3	o	c	roko	rokc
508	47	3	a	e	rokambolo	rokembolo
509	8	5	o	c	romano	romanc
509	47	3	o	c	roso	rosc
509	53	3	b	h	rosbifo	roshifo
510	2	0	g	r	gosmarc	rosmarc
510	8	0	p	f	pSeIoo	fSeIoo
510	22	3	o	c	roto	rotc
510	26	3	o	e	rotooar	roteoar
510	36	3	c	o	rotclar	rotolar
511	46	3	I	r	rubIiko	rubriko
515	13	6	s	m	sakarisetro	sakarimetro
515	31	0	a	s	aakrifikar	sakrifikar
516	18	4	o	c	salioino	salicino
516	24	5	a	o	salika	saliko
516	28	5	a	o	salikario	salikorio
517	15	0	a	s	aalvaI	salvaI
518	2	1	e	a	sendro	sandro
518	46	4	r	I	sapar	sapaI
518	52	3	o	c	sapono	sapcno
521	25	3	a	e	savano	saveno
524	36	5	a	s	seminario	seminsrio
525	36	4	o	c	senso	sensc
525	40	4	a	e	sensaciono	senseciono
525	57	3	n	u	senninelo	senuinelo
526	2	3	o	.	sepo	sep.
526	29	6	i	.	septuai	septua.
526	37	0	s	a	seouar	aeouar
526	45	0	s	a	smomeroio	amomeroio
527	2	1	e	a	sero	saro
527	17	0	s	a	serchar	aerchar
527	30	4	o	c	serio	seric
527	33	5	o	c	serino	serinc
527	44	4	o	e	serjo	serje
528	6	4	e	a	serpento	serpanto
528	20	4	I	r	seruIo	seruro
529	4	1	s	e	ssxagesimo	sexagesimo
529	11	2	x	z	sextanto	seztanto
529	18	2	x	a	saxteto	saateto
531	35	5	o	c	sharpo	sharpc
531	47	1	b	h	sbeklo	sheklo
535	20	5	o	e	siluro	silure
535	46	5	l	i	simbolo	simboio
541	30	0	a	s	akamoneo	skamoneo
543	6	0	a	s	akio	skio
543	23	0	a	s	akizto	skizto
543	36	4	o	c	skolo	skolc
545	2	0	g	s	gmmmfulco	smmmfulco
545	6	1	d	u	sdnmmkmxmpo	sunmmkmxmpo
545	9	1	d	u	sdummm	suummm
545	11	0	s	u	sdmmmm	udmmmm
545	18	0	s	e	skmdo	ekmdo
546	24	1	m	n	smdc	sndc
547	7	1	c	o	sckc	sokc
549	18	0	a	s	aonko	sonko
551	29	2	a	e	spacifika	specifika
553	52	0	a	s	apiso	spiso
554	5	4	n	h	splenc	splehc
554	45	2	c	o	spcntana	spontana
558	9	4	c	o	statcro	statoro
558	21	3	s	a	stesrioE	stearioE
559	10	3	h	n	stehografar	stenografar
559	25	4	o	c	stero	sterc
559	46	2	s	e	stsreotomio	stereotomio
560	37	4	o	c	stilo	stilc
560	53	4	c	o	stilcbato	stilobato
562	46	7	o	c	stratego	strategc
563	2	3	o	e	stroptokoko	streptokoko
563	14	5	o	c	strigo	strigc
564	42	4	o	c	stupo	stupc
566	19	0	g	s	gubreto	subreto
567	29	4	a	z	sufiao	sufizo
568	54	3	o	c	suno	sunc
569	8	3	o	c	supo	supc
570	21	3	o	c	suro	surc
570	43	0	a	s	aurmuleto	surmuleto
571	2	0	s	a	slrtuto	alrtuto
571	5	0	s	e	surkeIar	eurkeIar
571	28	5	n	o	suspensorio	suspeosorio
572	42	4	g	r	tabegnaklo	tabernaklo
573	38	8	o	c	takimetro	takimetrc
573	46	4	o	c	takto	taktc
574	17	4	o	c	talio	talic
574	58	2	s	m	tasarisko	tamarisko
574	61	4	u	o	tamburo	tamboro
575	30	3	o	c	tano	tanc
578	45	2	n	u	tannmturalo	taunmturalo
579	13	1	e	c	teo	tco
580	15	4	c	o	teleclogio	teleologio
580	55	6	a	e	temperamento	temperemento
581	36	4	o	e	tendo	tende
582	11	3	c	o	tencno	tenono
584	4	3	o	c	teroeto	terceto
584	6	3	o	c	teroiana	terciana
585	33	6	s	a	termotsrapio	termotarapio
585	54	4	o	c	testo	testc
586	2	4	a	e	testasentar	testesentar
589	24	2	o	u	tioulo	tiuulo
589	28	1	i	l	tirar	tlrar
590	44	3	o	c	tolo	tolc
591	10	3	b	h	tombako	tomhako
591	12	3	o	c	tono	tonc
591	38	6	o	e	tonsilo	tonsile
591	55	2	n	o	tono	tooo
594	20	1	c	o	tcxikologio	toxikologio
594	22	1	c	o	tcxino	toxino
594	28	4	o	c	trabo	trabc
594	35	4	o	c	traco	tracc
594	41	3	o	c	traoiono	traciono
595	32	5	o	c	trakeo	trakec
596	13	3	s	m	traso	tramo
597	7	5	a	e	transaoto	transeoto
599	25	5	r	I	tremar	tremaI
600	40	5	o	c	tribuo	tribuc
602	19	4	o	c	tripo	tripc
603	24	4	o	c	trogo	trogc
605	9	5	o	c	trumpo	trumpc
605	58	3	o	b	tubo	tubb
606	2	5	o	c	tubero	tuberc
606	40	3	o	c	tulou	tulcu
607	6	3	o	c	tuno	tunc
608	5	3	h	n	turhar	turnar
610	21	0	u	o	usmele	osmele
610	30	1	n	s	uno	uso
610	44	2	o	c	unoicrar	uncicrar
610	47	2	s	e	unsioo	uneioo
611	29	7	o	c	universo	universc
612	8	3	a	s	urbario	urbsrio
612	20	5	o	c	uretro	uretrc
612	54	0	o	u	ortikario	urtiksrio
612	54	5	a	s	ortikario	urtiksrio
614	16	1	s	.	vscilar	v.cilar
614	23	2	o	c	vaoinio	vacinio
614	32	1	a	s	vaser	vsser
614	60	3	e	a	valenoo	valanoo
615	2	3	e	a	valeriano	valariano
616	23	3	o	a	varo	vara
616	33	4	o	c	varioelo	varicelo
617	21	3	o	c	vazo	vazc
618	14	3	o	c	velo	velc
618	30	3	c	u	velcdroso	veludroso
618	40	2	n	h	vendar	vehdar
618	43	3	e	a	veneho	venaho
618	48	3	e	a	venerala	venarala
619	18	5	o	c	ventro	ventrc
619	51	4	a	s	verbasko	verbssko
620	33	4	o	c	vermo	vermc
621	29	4	o	c	vespo	vespc
621	43	4	o	c	vesto	vestc
621	47	4	a	e	vestalo	vestelo
621	54	5	b	t	vestibulo	vestitulo
622	2	1	e	s	veete	vsete
622	46	2	s	a	vismikou	viamikou
623	16	4	o	b	vicio	vicib
623	20	0	k	v	kidar	vidaI
623	20	4	r	I	kidar	vidaI
623	24	0	k	v	kidamo	vidamo
623	28	0	k	v	kidva	vidva
623	34	0	k	v	kigilar	vigilar
623	43	2	a	k	viaario	vikario
624	21	2	s	m	visplo	vimplo
624	26	3	o	c	vino	vinc
624	52	3	l	1	violo	vio1o
625	18	3	o	c	viro	virc
625	51	0	k	v	kiskomto	viskomto
626	10	3	a	e	vitalisso	vitelisso
626	28	4	r	I	vivar	vivaI
626	33	4	c	o	vivaca	vivaoa
626	38	2	z	x	vizar	vixar
627	18	5	o	c	vokalo	vokalc
628	29	1	c	o	vclutE	volutE
628	33	1	c	o	vclvar	volvar
628	42	5	o	c	vomiko	vomikc
628	52	4	o	c	vorto	vortc
632	8	3	o	c	yarou	yarcu
633	11	0	I	y	Iuko	yuko
634	44	2	s	m	zisogeno	zimogeno
638	47	0	I	y	Iulo	yulo
