page	ligne	col	lu	corrige	vedette lue	vedette retenue
115	34	6	o	c	diakono	diakonc
115	46	7	o	c	dialekto	dialektc
116	26	3	a	s	diaataao	diastaao
116	48	3	s	a	dicsrnar	dicarnar
117	16	4	o	c	dieto	dietc
117	41	7	c	o	diferencialo	diferenoialo
118	8	7	o	c	digitalo	digitalc
118	44	3	c	o	dikctomio	dikotomio
120	8	10	o	c	dinamometro	dinamometrc
120	36	6	o	c	dioptro	dioptrc
120	39	7	o	c	dioptrio	dioptric
121	5	5	o	c	diploo	diploc
123	43	2	s	a	disoepsio	diaoepsio
123	45	2	s	a	dispersar	diapersar
123	48	3	o	c	disoiremo	disciremo
126	13	6	o	c	dogmato	dogmatc
126	34	1	m	o	dmkumento	dokumento
126	37	1	m	o	dmlo	dolc
126	37	3	o	c	dmlo	dolc
127	49	6	o	c	dominaoar	dominacar
128	5	1	c	o	dcminanto	dominanto
131	33	3	o	c	duno	dunc
131	41	3	o	c	dupo	dupc
134	7	1	o	c	eoitar	ecitar
134	30	4	o	c	edero	ederc
134	53	0	d	e	ddro	edro
135	50	0	e	s	egardar	sgardar
135	52	0	e	s	egido	sgido
136	5	0	e	s	eslefino	sslefino
136	17	0	d	f	deis	feis
136	19	0	e	s	ejektar	sjektar
136	29	0	a	s	akc	skc
136	36	0	e	a	ekidno	akidno
136	44	0	s	a	skino	akino
136	50	0	s	a	sklampsio	aklampsio
137	9	3	e	o	eklego	eklogo
137	15	6	o	c	ekonomo	ekonomc
138	29	7	l	i	elektrolito	elektroiito
138	35	0	s	e	slektrologio	elektrologio
139	2	11	o	c	elektroskopo	elektroskopc
139	40	0	o	e	olipsoida	elipsoida
140	3	2	e	o	elengaco	elongaco
141	13	5	o	c	embolo	embolc
141	27	5	o	c	embraoar	embracar
142	4	1	s	m	esmtropa	emmtropa
142	7	1	m	s	emfasar	esfasar
142	25	1	s	m	esocar	emocar
143	25	7	o	c	encefalo	encefalc
143	37	6	o	c	endemio	endemic
144	6	1	r	n	erdoparazito	endoparazito
145	53	5	o	c	entreo	entrec
146	0	1	r	n	ertrenar	entrenar
