# Sosies corriges par le lexique du livre (passe unique, criteres severes).
# Une seconde passe sur le texte deja corrige a ete essayee : elle degrade
# (99,23/99,50 -> 99,14/99,41). Le lexique s'appauvrit a mesure qu'on le
# corrige, et les formes rares deviennent des cibles. Une passe, pas deux.
0	2	60	a
0	18	31	s
0	25	47	e
4	41	27	t
5	7	21	I
6	26	45	n
6	28	42	n
10	13	17	l
10	43	70	o
10	44	17	o
11	10	42	a
11	10	50	a
13	50	22	o
17	29	5	a
18	4	14	l
18	26	38	o
18	47	49	a
19	2	37	c
19	42	47	o
20	23	27	o
20	50	8	o
21	6	7	o
22	15	38	o
22	41	2	l
24	6	0	o
24	7	24	o
24	13	22	o
24	36	30	i
25	14	13	l
25	47	57	o
27	3	11	l
27	38	4	o
27	51	5	l
28	25	49	u
29	2	21	o
30	40	25	e
31	18	10	b
32	22	53	o
33	3	24	o
33	3	35	o
33	5	55	o
33	51	12	i
34	19	43	o
36	44	4	i
37	10	34	o
37	28	13	I
38	20	58	o
38	24	48	o
39	9	7	l
39	40	0	m
43	38	36	h
43	42	48	a
44	8	35	a
45	22	0	o
45	29	7	o
46	10	41	o
46	27	3	o
46	44	4	o
46	53	49	c
47	5	6	i
48	23	6	a
48	40	46	o
48	40	54	o
49	16	8	l
49	23	17	s
49	52	58	o
50	21	53	z
50	40	60	l
51	53	34	l
52	21	30	I
52	29	3	c
54	35	2	a
55	17	30	o
55	34	42	a
56	9	10	c
57	3	6	s
57	15	6	o
57	38	0	o
58	15	50	I
60	21	21	l
61	2	52	m
61	47	44	l
63	7	5	s
63	34	44	o
63	39	60	a
63	45	41	o
64	26	1	o
65	3	7	s
65	27	41	l
66	22	69	i
66	29	50	o
67	14	0	h
67	34	12	o
69	24	48	o
69	36	15	u
70	23	27	c
71	31	31	o
71	44	38	o
71	57	20	l
71	60	46	i
72	9	8	a
72	39	23	c
73	27	39	o
75	18	5	l
75	30	4	a
75	39	32	a
76	38	6	o
76	46	59	o
77	52	1	a
78	25	2	v
78	50	12	e
79	24	4	h
82	7	29	o
83	6	33	o
83	20	2	t
84	40	14	o
85	13	6	n
85	46	6	l
86	6	15	o
86	27	1	a
86	34	30	a
88	45	10	o
89	17	15	d
89	51	46	o
90	17	48	n
90	28	10	a
90	30	69	e
90	45	11	n
91	34	56	o
93	10	57	t
93	19	53	a
94	9	49	n
94	13	62	o
95	3	12	e
95	24	58	u
95	36	4	e
96	11	50	o
96	19	24	o
97	33	27	o
97	38	12	o
97	47	5	t
98	19	37	a
98	22	14	o
98	23	44	o
99	41	0	c
100	17	0	c
101	23	44	o
102	23	33	o
102	44	21	l
102	51	36	o
103	2	47	o
104	10	39	e
104	49	3	c
105	24	35	o
105	48	42	a
106	33	63	o
108	45	66	a
109	17	13	h
