# Casse tranchee par comparaison aux hampes de la meme ligne.
# Priorite basse : toute correction a la main l'emporte.
0	60	59	S
5	9	9	E
6	18	22	E
6	37	35	E
8	9	7	R
8	9	8	E
8	9	10	O
11	18	1	N
13	44	49	S
13	44	50	O
13	54	24	S
22	37	56	O
22	37	59	A
24	53	26	U
26	16	27	M
27	50	47	R
28	20	2	U
28	20	3	R
30	30	22	S
30	34	26	R
30	42	43	O
31	18	10	N
31	56	4	E
32	4	4	E
32	9	3	E
32	32	54	C
32	38	58	U
32	49	28	A
32	49	35	M
32	49	36	O
33	12	57	N
34	9	2	A
36	5	2	R
39	20	7	M
42	6	19	N
42	28	25	E
42	28	42	E
43	27	0	A
43	32	7	O
43	49	28	A
44	20	22	S
45	45	10	M
46	47	1	R
46	47	4	M
46	47	5	O
46	47	6	M
46	47	8	N
46	47	16	N
46	48	2	N
46	48	5	U
46	48	6	R
46	48	7	A
46	48	11	O
46	48	14	U
46	48	15	O
47	26	48	A
47	35	61	A
48	2	0	A
48	2	1	R
48	40	44	A
48	40	48	O
50	4	68	O
50	54	33	O
52	19	42	O
52	51	56	U
54	33	27	R
56	33	43	N
56	42	22	E
57	23	51	A
57	23	57	O
57	23	58	Z
57	23	60	S
57	23	62	V
57	23	63	E
57	23	64	R
57	24	0	S
57	24	3	O
57	24	4	S
58	27	19	O
58	42	6	O
61	5	48	V
61	10	12	S
61	10	18	R
61	16	52	M
61	29	51	A
61	32	51	O
61	47	48	O
63	5	49	O
63	5	52	M
63	5	53	A
63	5	54	N
63	5	56	E
63	5	57	N
63	5	58	A
63	5	59	R
63	12	56	C
63	23	58	R
64	4	55	U
64	36	37	R
65	8	56	N
66	3	63	A
66	3	66	A
66	5	49	U
66	5	52	E
66	5	54	R
66	5	55	E
66	5	57	E
66	5	59	O
66	5	63	A
66	6	49	R
66	6	60	E
66	6	61	O
66	6	66	O
66	7	60	N
66	10	45	R
66	10	54	O
66	10	60	N
66	10	62	R
66	26	69	A
66	40	2	R
66	48	2	R
67	38	5	A
68	24	11	Z
68	36	0	O
69	19	25	O
71	56	29	A
71	56	31	R
71	56	36	O
72	44	0	O
74	51	29	R
76	45	18	O
77	21	18	E
77	30	4	E
78	2	59	N
78	3	60	O
78	7	13	V
78	47	21	S
78	48	26	E
79	36	19	E
80	55	42	A
81	31	50	E
81	38	0	N
