# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
77	19	38-43
77	21	0-5,9-15,49-60
77	22	3-5
77	24	0-9
77	27	0-4
77	30	0-6,11-18,30-43
77	33	0-4
77	35	0-6
77	38	0-4
77	43	0-5
77	46	0-6,11-16
77	49	0-4
77	52	0-6
78	2	0-3,47-52
78	3	36-39
78	6	0-7
78	9	0-8,12-19
78	12	0-5
78	16	0-3,7-11
78	22	0-4,9-24
78	25	0-4,8-12
78	30	0-6
78	33	0-4
78	35	0-8
78	37	0-5
78	40	0-6,10-14,55-62
78	43	0-4
78	46	0-5
78	52	0-10
79	3	0-9,13-17
79	8	0-12,17-22
79	12	0-6,10-13
79	16	0-5,10-16
79	19	0-6
79	23	0-4
79	26	0-6,13-15
79	27	18-21
79	33	0-5
79	36	0-6
79	39	0-8,12-18
79	42	0-9
79	47	0-6
79	52	0-10,14-18
80	5	0-5,9-14
80	8	0-4
80	11	0-12
80	14	0-5,9-14
80	17	0-6
80	20	0-5
80	22	0-4
80	26	0-6
80	29	0-4,8-12
80	30	37-49
80	32	0-6
80	36	0-4
80	39	0-9,13-28
80	43	0-4
80	46	0-4
80	50	0-4,8-13
80	53	0-6
80	55	0-9,13-18
81	2	0-4
81	6	0-5,9-16
81	8	0-8
81	11	0-4
81	13	0-6
81	17	0-5
81	19	0-4
81	22	0-7
81	25	0-5,9-14
81	28	0-8,12-17
81	31	0-6
81	34	0-14,18-22
81	36	22-47
81	38	0-4,8-12
81	40	29-41
81	42	0-6,10-14
81	46	0-7,11-16
81	49	0-5,8-12
81	55	0-5
82	5	0-5,9-13
82	6	47-62
82	10	0-6,11-16
82	13	0-4,9-13
82	16	0-3,7-10
82	19	0-5
82	23	0-6,11-18
82	26	0-5,9-25
82	30	0-4
82	32	0-7,11-16
82	35	0-5
82	37	0-4
82	40	0-3
82	42	0-5
82	43	14-20
82	45	0-5,9-13
82	49	0-5,10-15
82	51	0-4,9-15
82	54	0-6,10-17
83	3	0-6
83	6	0-4,8-15
83	8	0-5,9-13
83	12	8-14
83	14	0-5
83	17	0-5
83	20	0-4
83	23	0-4
83	25	0-6
83	29	0-3,7-11
83	30	44-55
83	32	0-4
83	35	0-5
83	38	0-4
83	42	0-8
83	45	0-7
83	48	0-3
83	52	0-4
84	3	0-6,10-14
84	7	0-7
84	9	0-6,11-16
84	12	0-5,9-14
84	15	0-6
84	17	0-7
84	22	0-8
84	26	0-4
84	29	0-3
84	32	0-6
84	35	0-9
84	38	0-6,9-13
84	41	49-54
84	43	0-5
84	45	0-5
84	49	0-4
84	52	0-7
85	4	0-6,10-13
85	7	0-7
85	9	0-6
85	12	0-8
85	16	0-4
85	18	0-3,8-11
85	19	35-40
85	21	0-4
85	23	0-6
85	28	0-5
85	29	48-50
85	32	0-5
85	37	0-7,11-17
85	41	0-4
85	45	0-11
85	50	0-4,8-24
85	54	0-5
86	3	0-5
86	7	5-10,14-20
86	12	0-5,9-13
86	13	17-24
86	15	0-4
86	18	0-6,10-14
86	20	43-49
86	22	0-3
86	27	0-3,7-11
86	29	52-56
86	30	3-7
86	32	0-6,10-14
86	34	40-53
88	5	0-0,6-11
88	7	0-1,6-8
88	8	39-40,43-45
88	9	28-29,32-34
88	11	11-12,15-17
88	13	0-8,12-15
88	17	0-3,7-21
88	19	0-6,9-12
88	23	0-4,8-18
88	26	0-6
88	31	0-4,8-11
88	33	30-35
88	35	0-6,11-14
88	36	19-31
88	38	0-5
88	40	0-9,13-17
88	44	0-3,8-12
88	48	0-4,9-14
88	50	0-7,12-17
88	53	0-6,10-13
88	55	6-21
89	3	0-5
89	5	0-5
89	11	0-9
89	14	0-7
89	17	0-5,9-12
89	18	17-22
89	20	0-6
89	23	0-8,12-17
89	27	0-3
89	31	0-6
89	35	0-8
89	38	0-4
89	41	0-6
89	45	0-7,11-15,54-61
89	46	3-43
89	49	0-3
89	51	0-7
90	2	6-14,18-20
90	3	39-65
90	6	6-16
90	8	6-13
90	10	6-15,19-22
90	11	12-26
90	13	6-15
90	15	6-15
90	17	6-15
90	19	6-13
90	22	6-16
90	24	6-13
90	27	6-11,18-21
90	33	6-16,20-25
90	37	6-16,20-25
90	41	6-17
90	44	6-16,20-24
90	48	6-15,19-23
90	52	6-13,17-31
91	2	0-10
91	5	0-3,7-10
91	6	6-19
91	8	0-5
91	11	0-3
91	13	0-7
91	16	0-7,11-15
91	19	0-5
91	22	0-6,11-19
91	25	0-9,13-20
91	28	0-7,11-15
91	29	31-52
91	31	0-4,8-11
91	32	17-31
91	34	0-5,10-13
91	37	16-29
91	39	0-10,14-17
91	40	6-34
91	42	0-5,9-13
91	44	0-4
91	45	5-11
91	48	0-9,14-19
91	50	0-7,11-17
92	3	0-5,9-13
92	7	0-4,8-11
92	8	30-44
92	10	0-4,8-14
92	12	0-4,9-25
92	14	0-4,8-12,51-57
92	15	4-10
92	17	0-4
92	21	0-6,10-14
92	24	0-5
92	26	0-6,10-15
92	27	29-35
92	29	0-5
92	31	0-5
92	34	0-8,13-20
92	36	0-4
92	39	0-6
92	41	0-6
92	44	0-7
92	48	0-4,8-12
92	50	24-39
92	52	0-6
93	2	0-6
93	6	0-9
93	9	0-6
93	12	56-58
93	13	3-9
93	16	0-8
93	18	0-10,14-17
93	24	0-8,53-58
93	28	0-5
93	30	0-8
93	33	0-6,11-27
93	37	0-6,10-14
93	40	0-5
93	42	0-4
93	43	55-59
93	46	0-6
93	52	0-7
94	3	0-8
94	6	0-4
94	12	0-7
94	16	0-6,10-14
94	21	0-6,11-15
94	23	0-7
94	26	0-5
94	29	0-5,9-14
94	32	0-5
94	34	0-7
94	38	0-2
94	41	0-4
94	44	0-6
94	48	0-4,8-12
94	52	0-4
95	2	0-6,11-24
95	3	49-59
95	6	0-7
95	11	0-6,10-16
95	15	0-4,8-12,44-57
95	16	3-9
95	18	0-4
95	20	0-4,8-13
95	24	0-4
95	27	0-9,13-16,43-59
95	30	0-7
95	33	0-4
95	35	0-6,10-14
95	36	12-26
95	38	0-10,14-19
95	41	0-5,9-13
95	43	0-8
95	46	0-5,9-16
95	48	0-6
95	50	0-5
560	2	0-7,11-16
560	5	3-20
560	7	0-6,11-16
560	10	0-7,12-16
560	13	0-8,12-19
560	16	0-8,12-19
560	20	0-9
560	23	0-4
560	26	0-5,9-13
560	29	0-7
560	30	7-21
560	33	45-48
560	37	0-4,11-23
560	39	40-50
560	40	47-50
560	42	3-8
560	45	0-6
560	48	0-10
560	49	19-29
560	53	0-8,11-19
474	50	0-6,10-18
474	53	0-7,10-13
227	44	0-6
250	55	0-5
250	56	
250	57	
