# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
22	8	0-5,9-18
22	10	17-27
22	12	0-7,11-16
22	13	18-27
22	15	0-10,14-21
22	18	0-6
22	21	0-6,10-15
22	25	0-7
22	27	0-4,39-50
22	29	16-20
22	31	0-5,9-19,59-62
22	32	3-8
22	37	0-8,14-17,21-61
22	38	3-28
22	41	0-3
22	45	0-2
22	47	36-52
22	54	0-8
23	5	0-6,10-15,19-34
23	8	0-7
23	10	0-6,11-15
23	13	0-5,9-13
23	14	20-25
23	16	0-3,7-23
23	21	0-8,13-17
23	23	40-47
23	25	0-6
23	28	0-5,9-13
23	34	0-5
23	38	0-7
23	39	30-45
23	41	0-7
23	45	0-10
23	49	0-10,14-20
23	52	0-6,10-13
23	56	0-5,9-13,34-39
24	2	0-6,10-15,19-37
24	6	0-3
24	7	34-40
24	10	0-5,9-13
24	13	0-7
24	16	0-5,9-14,53-63
24	19	0-4
24	22	0-5
24	24	0-10
24	27	0-5,9-13,18-24
24	30	0-7
24	33	0-7
24	35	0-3,7-10
24	36	40-43
24	38	0-6,11-16
24	46	0-8,13-18
24	49	0-3,7-10
24	51	18-31
24	53	0-7,11-22
24	54	42-49,53-59
24	55	28-35
25	5	0-5,9-22
25	8	0-6
25	13	0-6,11-15,20-30
25	16	0-8,12-19
25	19	0-8,12-16
25	20	6-14
25	22	0-8,13-23
25	26	0-5
25	30	0-6,11-16
25	33	0-8,12-17
25	37	0-7,12-16
25	41	0-9,14-30
25	44	0-5,9-17
25	47	0-3,7-10
25	48	17-28
25	50	0-5,9-19
26	2	0-6,10-14
26	5	0-8,12-16
26	8	0-6
26	12	0-7
26	15	0-12
26	18	0-13
26	22	0-5
26	25	0-7
26	29	0-4
26	31	0-6,10-22
26	33	0-3,7-10
26	34	50-54
26	36	0-3,7-10
26	37	20-33
26	39	0-5,9-16
26	43	0-5
26	46	0-5,12-16
26	48	31-37,41-49
26	52	0-7,11-19
26	54	3-31
27	2	0-7,11-16
27	5	0-4,9-13
27	6	30-43
27	8	0-7,11-15
27	12	0-5,9-14
27	14	0-3
27	17	0-5,10-14
27	18	35-48
27	20	0-8,15-22
27	21	45-51
27	23	42-47
27	28	0-3
27	33	0-3,7-12
27	36	0-5,10-16
27	37	47-57
27	38	3-6
27	41	0-4,8-10
27	42	6-12
27	44	0-6,11-15
27	47	0-7,12-19
27	50	0-10
28	2	0-10
28	4	0-10
28	7	0-7
28	9	0-4
28	12	0-5,10-15
28	15	0-6
28	18	0-6,11-15
28	21	0-7
28	25	0-4,8-12
28	29	0-4
28	32	0-7
28	35	0-6
28	38	0-3,7-11
28	40	0-7,52-56
28	43	0-6,10-14
28	44	15-19
28	46	0-4,8-12
28	49	0-7,12-14
28	50	29-37
28	52	0-4
29	2	0-6
29	5	0-7,11-16
29	9	0-6,13-17
29	13	0-6
29	16	0-7
29	20	0-7,11-15
29	24	0-9
29	27	0-6
29	30	0-5,9-15
29	33	0-7,12-17
29	35	0-5,9-15
29	39	0-5
29	42	0-4
29	45	0-7,11-15
29	46	4-14
29	48	0-8
29	51	0-4
30	4	0-8,13-16
30	7	0-7
30	9	0-6
30	12	0-5
30	15	0-7
30	17	0-9,13-16
30	21	0-6
30	23	0-7,12-16
30	26	0-10,14-17
30	30	0-8,12-16
30	35	0-11,16-20
30	38	0-6
30	40	43-65
30	43	0-9
30	48	0-5,10-24
30	51	0-6
30	54	0-4,9-13
31	3	0-6,11-15
31	6	0-4
31	10	0-4,8-12
31	12	0-10,14-17
31	16	0-4
31	18	0-6,10-13
31	21	0-8,12-17
31	24	0-6,10-14
31	27	0-6,10-14
31	31	0-4
31	33	0-5
31	35	0-7,11-15
31	37	0-6,10-18
31	39	0-5,9-13
31	44	0-6,10-14
31	47	0-5
31	49	0-8,12-17
31	53	0-8,13-16
31	54	14-23
31	56	0-7,13-19
32	4	0-6,10-16
32	9	0-10,15-22
32	13	0-4
32	15	3-10,28-34
32	16	14-20,25-28
32	17	3-11
32	20	0-9
32	22	0-6
32	28	0-6,11-20
32	29	46-56
32	32	0-6
32	35	0-5,9-13
32	37	0-4
32	42	0-1
32	45	0-10,14-29
32	49	0-10
32	51	0-7,12-15
32	54	0-4,9-13
32	55	53-56
32	56	3-8
33	2	0-8,13-16,21-49
33	5	0-6,10-13
33	9	0-6,10-13
33	10	6-14
33	12	0-7
33	15	0-8
33	16	42-44
33	17	57-58
33	18	3-5
33	20	0-8
33	22	0-10
33	26	0-4
33	29	0-9,14-18
33	32	0-8,48-60
33	33	3-8
33	37	38-53
33	41	0-7,12-16
33	43	0-6
33	45	0-9,13-16
33	50	0-6,9-13
33	52	6-19
34	3	0-7
34	6	0-6
34	9	0-10,14-16
34	11	0-9,14-17
34	13	0-7,12-16,21-36
34	16	0-7
34	19	0-7
34	22	0-6,10-13
34	26	0-6
34	29	0-9
34	31	0-7,11-14
34	34	0-10,14-17
34	38	0-8,12-15
34	41	0-11,16-20
34	44	0-7
34	46	0-6,9-13
34	49	0-8,12-16
34	52	0-9
35	2	0-6,10-12
35	3	7-13
35	5	0-7
35	7	0-8,12-16,21-29
35	11	0-4,8-11
35	12	20-37
35	14	0-8,12-16
35	17	0-5,9-13
35	20	0-5
35	24	0-7,12-15
35	25	30-50
35	27	0-7,13-26
35	31	0-5,9-14
35	34	0-10,14-18
35	37	0-8
35	40	0-6,11-28
35	44	0-7
35	47	0-6,11-14
35	49	23-30
35	51	0-5,9-13
36	1	0-6,11-22
36	5	0-6,10-14
36	7	0-7,10-14
36	9	0-5,10-14
36	12	0-6
36	14	0-7,12-16
36	17	0-5,10-16
36	21	0-10
36	24	0-4,8-11
36	25	8-24
36	27	0-9,14-17
36	31	0-5,8-21
36	34	0-3
36	37	0-8,13-18,23-27
36	40	0-5
36	43	0-4
36	48	0-3,7-22
36	51	0-5,9-13
36	52	20-26
37	2	0-4,8-14
37	5	0-6
37	7	0-6
37	10	0-3
37	14	0-4
37	16	0-10
37	18	0-10
37	20	0-8
37	23	0-3
