# Toutes les cellules dont la lecture a ete modifiee par rapport au decodage brut.
# image	ligne	colonne	lu	retenu	origine
68	29	1	e	a	automatique
69	16	0	o	b	automatique
69	43	28	b	t	automatique
70	33	6	c	o	automatique
71	22	5	c	o	automatique
71	30	7	c	o	automatique
72	11	0	h	b	automatique
72	19	0	h	b	automatique
73	6	10	c	o	automatique
73	10	4	f	I	automatique
73	21	2	s	a	automatique
73	34	13	t	i	automatique
73	34	29	e	a	automatique
73	36	36	c	o	automatique
73	52	34	s	e	automatique
74	44	5	e	v	automatique
74	51	8	c	o	automatique
75	7	40	b	p	automatique
75	7	43	b	t	automatique
75	17	56	o	e	automatique
75	26	11	s	x	automatique
76	16	7	b	i	automatique
76	19	0	h	b	automatique
76	21	3	P	p	automatique
76	21	12	o	c	automatique
76	25	39	o	S	automatique
77	2	0	t	b	automatique
77	6	49	e	v	automatique
77	24	9	P	o	automatique
77	24	12	E	B	automatique
77	30	6	I	r	automatique
78	22	0	b	p	automatique
78	22	2	s	z	automatique
78	25	3	c	o	automatique
79	44	45	p	t	automatique
79	47	6	c	o	automatique
79	47	9	L	l	automatique
80	5	50	b	t	automatique
80	50	17	R	n	automatique
81	17	7	l	d	automatique
81	17	8	l	i	automatique
81	19	4	c	o	automatique
81	25	31	s	x	automatique
82	13	1	r	m	automatique
82	16	0	b	t	automatique
82	54	20	E	S	automatique
83	17	44	j	l	automatique
84	7	7	c	o	automatique
85	4	2	u	o	automatique
85	12	8	c	o	automatique
85	16	4	c	o	automatique
85	18	3	c	o	automatique
85	21	4	c	o	automatique
85	21	39	f	T	automatique
85	21	45	f	T	automatique
85	28	4	c	o	automatique
85	47	14	D	O	automatique
88	7	17	n	m	automatique
88	32	25	A	a	automatique
88	35	0	o	c	automatique
88	53	0	o	c	automatique
90	34	50	o	c	automatique
90	45	37	z	s	automatique
91	3	21	a	s	automatique
91	11	0	o	c	automatique
91	13	10	A	a	automatique
91	31	0	c	s	automatique
91	39	4	z	a	automatique
91	45	49	s	x	automatique
92	2	3	s	a	automatique
92	6	4	c	o	automatique
92	16	5	o	a	automatique
92	44	6	c	o	automatique
93	16	11	V	v	automatique
93	18	10	c	o	automatique
95	50	0	o	c	automatique
95	51	5	e	v	automatique
96	19	0	o	c	automatique
97	3	4	a	e	automatique
97	3	7	s	m	automatique
97	3	14	p	t	automatique
97	10	8	c	o	automatique
97	15	0	o	c	automatique
97	23	0	o	c	automatique
97	26	13	A	a	automatique
97	28	6	c	o	automatique
97	32	6	c	o	automatique
97	35	6	c	o	automatique
97	49	16	P	F	automatique
97	53	6	c	o	automatique
98	48	8	b	t	automatique
99	22	39	a	y	oeil
99	24	12	b	o	automatique
99	36	4	o	o	oeil
99	49	5	h	n	oeil
99	51	4	a	\sur{\textasciicircum{}}{a}	oeil
99	51	7	a	\sur{\textasciicircum{}}{e}	oeil
99	51	10	i	\sur{\textasciicircum{}}{i}	oeil
99	51	13	o	\sur{\textasciicircum{}}{o}	oeil
100	2	14	-	Q	oeil
100	9	0	o	c	automatique
100	10	14	s	m	oeil
100	20	45	a	-	oeil
100	34	0	a	\textquotedbl{}	oeil
101	4	0	o	c	automatique
102	17	7	b	i	automatique
102	21	9	S	o	automatique
102	28	13	L	l	automatique
103	14	5	I	r	automatique
103	19	19	P	p	automatique
103	23	6	o	c	automatique
103	25	5	I	r	automatique
103	32	21	c	o	automatique
104	16	22	V	v	automatique
104	46	12	a	s	automatique
105	18	21	s	z	automatique
105	33	24	o	r	automatique
105	40	38	D	C	automatique
105	58	48	z	s	automatique
105	59	24	e	o	automatique
106	10	25	c	o	automatique
106	34	2	k	a	automatique
107	2	12	A	a	automatique
107	3	36	A	a	automatique
107	8	14	e	a	automatique
107	8	15	z	s	automatique
108	27	16	A	a	automatique
110	19	21	I	T	automatique
110	43	47	b	h	automatique
112	15	16	s	m	automatique
113	2	20	A	a	automatique
113	5	14	A	a	automatique
114	2	5	c	o	automatique
114	2	9	E	S	automatique
114	2	10	e	a	automatique
114	9	8	S	s	automatique
114	33	34	T	f	automatique
114	43	33	o	a	automatique
115	9	0	i	d	automatique
115	11	23	a	M	automatique
115	18	8	I	r	automatique
116	20	29	D	O	automatique
116	26	48	s	x	automatique
116	51	9	A	a	automatique
117	8	54	v	s	automatique
117	8	55	u	o	automatique
117	26	15	l	i	automatique
117	31	42	s	x	automatique
117	38	10	e	v	automatique
117	41	29	s	m	automatique
117	43	9	s	x	automatique
118	16	7	o	c	automatique
119	20	53	c	o	automatique
120	19	5	I	r	automatique
120	30	21	c	o	automatique
121	7	9	I	T	automatique
121	7	13	d	o	automatique
121	56	22	e	o	automatique
122	4	0	a	e	automatique
122	4	1	d	s	automatique
122	6	2	s	a	automatique
122	17	7	R	N	automatique
122	26	35	D	O	automatique
122	33	4	c	o	automatique
123	50	25	s	m	automatique
123	50	26	m	e	automatique
124	34	11	I	T	automatique
124	41	3	B	S	automatique
125	13	6	I	r	automatique
125	45	3	z	s	automatique
127	15	0	o	d	automatique
127	40	19	s	x	automatique
127	42	53	v	s	automatique
127	42	54	e	a	automatique
127	42	56	t	a	automatique
127	49	6	o	c	automatique
128	9	36	I	T	automatique
128	54	19	s	m	automatique
129	8	59	y	v	automatique
129	36	6	c	o	automatique
130	54	3	s	g	automatique
130	54	5	e	r	automatique
130	54	43	e	u	automatique
130	54	44	e	r	automatique
133	43	0	c	e	automatique
134	16	11	s	x	automatique
134	20	10	b	i	automatique
134	38	5	s	z	automatique
134	53	0	d	e	automatique
135	42	0	i	e	automatique
135	44	9	s	a	automatique
135	44	44	c	o	automatique
136	19	49	z	x	automatique
136	29	2	c	o	automatique
136	32	7	b	i	automatique
137	6	34	T	f	automatique
137	25	26	c	o	automatique
138	25	16	e	a	automatique
138	35	0	s	e	automatique
139	8	17	c	o	automatique
139	19	17	I	T	automatique
140	31	40	a	o	automatique
141	8	3	z	s	automatique
141	16	6	c	o	automatique
141	18	21	S	R	automatique
141	24	9	c	e	automatique
141	30	49	x	k	automatique
141	58	5	l	i	automatique
141	58	6	a	c	automatique
141	58	7	v	a	automatique
142	27	19	I	f	automatique
143	18	27	c	o	automatique
143	18	28	m	r	automatique
143	53	6	o	e	automatique
144	2	0	d	e	automatique
144	25	0	s	e	automatique
145	13	49	e	a	automatique
145	24	12	I	K	automatique
146	0	15	e	s	automatique
146	46	17	R	N	automatique
146	47	9	o	u	automatique
