vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
abortar	netrans.	(aludante feto) Mortar, od ocidesar, dum la jermeso-periodo ¶ (aludante muliero gravida) Parturar, ante la instanto normala, filio qua mortis od ocidesis dum la jermeso-periodo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	3	35	10	
aboyar	netrans.	(aludante hundo o kelka animali altra ek la sama genero) Kriar			Franca,Italiana	FI	3	40	10	
abreviar	trans.	Igar (ulo) plu kurta spacale (verko literatura, historia, e c.) per uzar min multa vorti			Germana,Angla,Franca,Italiana,Hispana	DEFIS	3	43	10	
abrikoto	bot.	Frukto grosa, flava e kelke reda, di qua la pulpo esas sukroza e saporoza – de arboro ek la genero « pruniero », familio de la « rozacei », qua devenis (onu konjektas lo) de Armenia	prunus armeniaca		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	3	46	10	
abrogar	trans.	Deklarar « nevalida » to quo esas establisita, institucita. (supresar lego per altra lego, dekreto per altra dekreto qua nevalidigas la antea)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	3	51	10	
abrotano	bot.	Speco di artemizio di qua la folii, kande onu manuagas li, lasas sur la fingri odoro citronala	artemisia abrotanum				4	2	11	sen-lingua
abrupta		Di qua la pento esas ruptita bruske, ne-egale ¶ (metaf.) (pri stilo) Di qua la aluro esas neharmonioza e ne-egala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	6	11	
absenta		Qua ne esas en la loko ube lu povas o devas esar			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	4	10	11	
absinto	bot.	Planto aromata tre bitra, ek la familio « kompozaji »	artemisia absinthium		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	4	13	11	
absoluta		Qua ne submisesas a kondiciono, a restrikto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	4	16	11	
absolvar	trans.	Dispensar de la puniso, de la responso a qua lu su expozis pro ago pri qua lego preskriptas puniso			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	18	11	
absorbar	trans.	Igar penetrar, retenar en sua substanco, liquido, gaso			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	22	11	
abstenar	trans.	Interdiktar a su ipsa agar (ulo) ¶ Interdiktar a su ipsa uzar, juar (ulo)			Germana,Angla,Franca,Italiana	DEFI	4	25	11	
abstersar	trans.) (medic.	Netigar de la puso, de la sanio qua adheras a la surfaco di plago, di ulcero			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	28	11	
abstinencar	netrans.) (religio	Ne manjar karno en la dii quin indikas la Eklezio katolika			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	31	11	
abstraktar	trans.	Izolar per penso ¶ (filoz.) Konsiderar parto, izolante lu ek la toto. – Nombro abstraktita : qua ne indikas grandoro reala, objekti mezurebla o kontebla			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	4	34	11	
abstruza		Desfacile komprenebla e tedanta			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	39	11	
absurda		Kontrea ye la raciono komuna			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	4	41	11	
abulio	medic.	Morbo mentala quan karakterizas la savo di to quon onu devas agar e la nepovo agar lo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	4	43	11	
abundar	netrans.	Esar plu multa kam suficante			Angla,Franca,Italiana,Hispana	EFIS	4	46	11	
abutar	netrans.	Arivar per sua extremajo. (ex. : strado qua abutas an placo; nervi qui abutas an la cerebro)			Angla,Franca,Italiana,Hispana	EFIS	4	48	11	
abutmento	teknol.	Konstrukturo, masivo petra, destinita a suportar pulso. (ex. : sur la rivi di fluvio, por rezistar la pulsi da la arki)			Franca	F	4	51	11	
acefala	biol.	Sen-kapa. (ex. : la ostri esas acefala)					5	2	12	sen-lingua
acelerar	trans.	Igar plu rapida			Angla,Franca,Italiana,Hispana	EFIS	5	4	12	
acendar	trans.	Igar lumifanta per igar (lu) produktar flami, mem nur mikra. (anke metaf.)			Italiana,Hispana,Latina	ISL	5	6	12	
acensar	netrans., sur	Irar adsupre, hisar su adsupre			Germana,Angla,Franca,Italiana,Hispana	DEFIS	5	9	12	
acento	fonetiko	Plu-lautigo di la voco sur ta o ca silabo di vorto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	5	12	12	
aceptar		Konsentar prenar, recevar to quon ulo ofras, donas, donacas, prizentas ¶ Recevar volunte (ulu) qua venas kom vizitanto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	5	15	12	
acero	bot.	Arboro di qua la ligno, veinoza, uzesas por la faco di mobli	acer campestre				5	19	12	sen-lingua
acerba		Pikanta ed atakema (metaf.)			Angla,Franca,Italiana,Hispana	EFIS	5	22	12	
acesar	trans.	Povar arivar an loko, an persono			Angla,Franca,Italiana,Hispana	EFIS	5	24	12	
acesito		Nomino quan onu grantas, en konkurso, a la personi qui proximeskis maxime a la premio			Germana,Angla,Franca,Italiana,Hispana	DEFIS	5	26	12	
acesora		Qua adjuntesas a la kozo precipua			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	5	29	12	
acetato	kemio	CH₃CO₂H					5	31	12	sen-lingua
acetileno	kemio	CH : CH					5	33	12	sen-lingua
acetometro		Acidometro specala, uzata por mezurar la koncentreso-grado di vinagro					5	35	12	sen-lingua
acetono	kemio	CH₃CO.CH₃					5	38	12	sen-lingua
-acho		Sufixo pejorativa qua expresas qualeso tre infra, nuanco di desestimo, antipatio, repugneso					5	40	12	sen-lingua
aciano	bot.	Varietato di centaurei, kun floro blua, qua kreskas precipue en la frumento-agri	centaurea cyanus				5	43	12	sen-lingua
acida		Di qua la saporo esas pikanta. – (kemio) Acido : Oxo-kompozajo qua redigas la tornasolo blua, e qua, kande onu deskompozas lua sali per baterio, fluas a la polo pozitiva			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	5	46	12	
acidentar	trans.	Ruptar hazarde, ne-expektite e (generale) desfortunoze la iro normala di la kozi ¶ (filoz.) Modifikar nedurive, efemere, la eso			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	5	51	12	
acidometro		Instrumento per qua onu mezuras la koncentreso-grado di acido			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	6	3	13	
aciono	financo	Parto di la kapitalo suskriptenda, qua yurizas pri parto di la trezoro societala e di la profito di societo ¶ La akto qua reprezentas singla di ta parti			Germana,Franca,Italiana,Rusa,Hispana	DFIRS	6	6	13	
