vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
gufo	zool.	Nokt-ucelo de la familio « strigi »	Otis vulgaris		Italiana	I	204	10	211	
guidar	trans., ad, pri	Montrar la justa voyo ad ulu (akompanante lu) qua ne konocas olu, e qua povas hezitar od erorar			Angla,Franca,Italiana,Hispana	EFIS	204	13	211	
guindo	bot.	Sorto di cerizo, nigra-reda	Cerasus juliana				204	17	211	sen-lingua
gulo	mitol. orientala	Genio qua devoras la korpi di la mortinti			Germana,Angla,Franca,Italiana,Hispana	DEFIS	204	20	211	
*gulfo	geogr.	Maro-parto qua formacas larja konkavajo en la tero di litoro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	204	23	211	
gulyasho		Bovo-karno, kun onioni hachita, papriko, alio, kumino-grani, majorano, muskado, e c., koquinta dum tri o quar hori : a la sauco adjuntesas kelka buliono e farino					204	26	211	sen-lingua
gumo		Substanco qua defluas de ula arbori, uzata por glutinar, apretar, briligar, o kom dolcigivo en siropi, pasti, pastili, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	204	30	211	
gumiguto		Gumo ek arboro di India	garcinia		Germana,Franca,Italiana,Rusa	DFIR	204	34	211	
gumlako		Gumo ek planti leguminosa di India			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	204	36	211	
gurdo		Botelo plata, sur la parto extera di qua aplikesis oziero-plektajo, en qua onu varsas vino, brandio, e c.			Angla,Franca	EF	204	38	211	
gurmo		Flegmazio di la mukozo nazala, che la yuna kavalo ¶ Exantemo di la vizajo e di la pelo haroza (che la homo)			Franca	F	204	41	211	
gurmando	persono	Qua prizas la dishi bona (bone-saporoza) e manjas multo de li			Germana,Angla,Franca	DEF	204	45	211	
gurto		Bendo de ledro o de telo, quan onu tensas por mantenar ulo			Germana,Angla	DE	204	48	211	
gustar	trans.	Perceptar la saporo (di ulo) ¶ Perceptar la saporo (di ulo) por judikar lo. (anke metaf.)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	204	51	211	
guto		Mikra quanto de liquido qua su separas en la formo di globeto			Franca,Hispana	FS	204	54	211	
gutaperko		Materio gumoza, flexebla, plastika, uzata kom substanco nepermeebla			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	205	2	212	
guturo	anat.	Prolonguro di la faringo (dopa boko) qua komunikas kun la ezofago ¶ Prolonguro di la laringo qua komunikas kun la faringo			Angla,Franca,Italiana,Hispana	EFIS	205	5	212	
guvernar	trans.	Direktar la aferi di la stato ¶ Direktar la eduko di infanto, puero, adolecanto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	205	9	212	
guyavo	bot.	Frukto (piroforma, di qua la pulpo esas sukroza e parfumoza) qua kreskas sur granda arboro exotika, qua formacas genero di la familio « mirtacei »	psidium guyaba		Latina	L	205	12	212	
ha!		Interjeciono qua indikas ke onu quik expresos ula emoco tre vivaca di psiko (joyo, doloro, iraco, e c.)					206	9	213	sen-lingua
habila	pri persono	Apta sucesar en to quon lu agas o facas			Germana,Angla,Franca,Italiana,Hispana	DEFIS	206	12	213	
habilitar	trans.) (yurocienco	Igar kapabla legale pri agor ulo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	206	15	213	
habitar	trans.	Rezidar permanante en domo propra o fixa			Angla,Franca,Italiana,Hispana	EFIS	206	18	213	
habitaklo	navo	Armoro, sur la kastelo avana, avan la guvernilo-roto, en qua enklozesas la busolo, la horlojo e la lanternego			Franca	F	206	21	213	
hachar	trans.	Tranchadar a peceti, per hakilo, hakokultelo, e c. (anke metaf.) ¶ Provizar (desegnuro, e c. per mikra streki, paralela o qui interkrucumas)			Angla,Franca	EF	206	25	213	
hagiografo		Autoro qua naracas la vivo-maniero e la agi di la santi (di la eklezio katolika)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	206	29	213	
hagiografio		Cienco qua traktas la vivo-maniero e la agi di la santi (di la eklezio katolika)					206	32	213	sen-lingua
hakar	trans., per	Abatar, tranchar, fendar, per instrumento fera, lamo larja ye formo di triangulo kurvolinea; konvexa, ye lua bazo (qua esas tranchiva); konkava, ye lua lateri, e qua esas fixigita an mancho			Germana,Angla,Franca,Italiana,Hispana	DEFIS	206	35	213	
halo		Chambro, salono, extreme vasta ¶ Granda placo tektoza, ube esas la merkato di la manjebli			Germana,Angla,Franca,Hispana	DEFS	206	40	213	
halbardo		Shaft-armo, kun mancho longa, ferlamo tranchiva e pintoza, plus du ferlami laterala (ali), de qui un esas krecentatra, la altra pinta			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	206	43	213	
halofito	biol.	Nomo generala di la vejetanti qui kreskas naturale en sulo tre mar-saloza, sive an maro, sive apud salini					206	47	213	sen-lingua
halogena		Nomo donita da Berzelius ad irga ek la korpi ye qui konsistas la familio di kloro : fluoro, kloro, bromo, iodo, qui esas apta formacar sali per kombinar su kun la metali					206	51	213	sen-lingua
halono		(astron.) Cirklo lumoza, maxim-multa-kaze koloroza, qua aparas ul-instante cirkum la disko Suna, Luna o planeta kande li brilas tra atmosfero vaporoza ¶ (anat.) Mikra cirklo reda qua cirkondas la mamo-pinto					207	5	214	sen-lingua
haltar	netrans.	Cesar sua avanco, sua marcho, ne irar plu-fore; cesar funcionar			Germana,Angla,Franca,Italiana	DEFI	207	10	214	
haltero	gimnastiko	Kurta stango di qua la du extremaji finas per fer-bulo, quan onu elevas ed abasas por exercar la muskuli di la brakii			Franca,Italiana,Hispana	FIS	207	13	214	
haltiko	zool.	Insekto koleoptera, plantivora, saltera, ek la familio « krizomelidei », qua devoras la planti leguma e la vito	altica				207	17	214	sen-lingua
halucinar	netrans.) (patol.	Subisar quaza alienaco neduriva dum qua onu perceptas sento, kontre ke ne existas extera objekto apta produktar ta sento			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	207	21	214	
haluxo		La grosa pedo-fingro					207	25	214	sen-lingua
hamadriado	mitol.	Nimfo di la boski, di qua la fato esas ligita ad olca di arboro, e qua naskas e mortas kun ica					207	27	214	sen-lingua
hamako		Telo o reto suspendita horizontale per lua du extremaji, tale ke lu formacas lito portebla en qua onu su kushas o su ociligas			Angla,Franca,Rusa,Hispana	EFRS	207	30	214	
hamstro	zool.	Mikra mamifero rodera, di Rusia e di la nordoregioni di Germania	cricetus		Germana,Franca,Rusa,Hispana	DFRS	207	34	214	
hano	zool.	Pultro de la klaso « galinacei », di qua la maskulo havas sur la kapo kresto reda, kun tarsi forta e garnisita ye sporno hokatra, e kantas per sorto di krio klara e penetranta			Germana,Angla	DE	207	37	214	
hancho	anat.	Singla de la du parti simetra di la homo-korpo, qua salias adextere, inter la kruro e la kosti, e produktita da la expansuro di la iliak-osto, ube lu formacas artiko kun la femuro			Germana,Angla,Franca,Italiana,Hispana	DEFIS	207	42	214	
handikapar	trans.	(kavalkur-konkurso) (en kur-konkurso pri qua onu admisas kavali irge-evoza ed irge-quala) kargar ula ek li per pez-masi qui esas diversa segun lia evo, forteso (grado, por egaligar la suceso-chanci) ¶ (metaf.) Impozar desavantajo ad ulu			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	207	47	214	
hangaro		Tekto pozita sur fosti o pilastri, sub qua onu shirmas veturi, ligno, e c.			Germana,Angla,Franca	DEF	207	53	214	
hanso	olim	Korporaciono de la komercisti (exemplo : la hanso Teutonika)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	207	56	214	
haptiko		La cienco qua traktas la fenomeni pri tushado					207	59	214	sen-lingua
haraso		Trupo ek kavaluli e kavalini di raso la maxim bona, asemblita skope di genito ¶ Establisuro specala por la eduko e produkto di kavali			Franca	F	208	3	215	
haro	anat.	Singla de la pili qui garnisas la kranio-pelo (che la homo)			Germana,Angla	DE	208	7	215	
harda		(aludante kozo) Qua tre rezistas lor tusheso ¶ Qua tre rezistas kontre entameso ¶ (aludante persono) Qua ne apertesas por la sentimenti di benigneso, di humaneso, e c.			Germana,Angla	DE	208	10	215	
haremo		Che la Mohamedisti : apartmento di la homini ¶ Asemblitaro ek ta homini			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	208	15	215	
haringo	zool.	Mar-fisho de la familio « klupi » qua decensas singla-yare, en trupi nekontebla, de la Oceano Glaciala Arktika	Clupea harengus		Germana,Angla,Franca,Italiana,Hispana	DEFIS	208	18	215	
harmoniar	netrans., kun	Havar sua parti tala, ke singla de li konkordas kun la ceteri. (anke metaf.)			Germana,Angla,Franca,Rusa,Hispana	DEFRS	208	22	215	
harmoniko	matem.	Proporciono ek tri nombri tala ke la eceso di la unesma ye la duesma relatas la eceso di la duesma sur la triesma quale la duesma ye la unesma					208	25	215	sen-lingua
harmoniko	muziko	Muzik-instrumento antiqua, de kalici vitra, neegale plenigita ye aquo, e rotacanta, e qua, per la froto di la bordo di la kalici da la fingri, bruisas vibre ¶ Muzik-instrumento en qua la kordi remplasesas da lami vitra di qui la longeso ne esas inter-egala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	208	29	215	
harneso		Equipo-kozi di sel-kavalo o jungo-kavalo			Germana,Angla,Franca,Hispana	DEFS	208	35	215	
harpo		Muzik-instrumento tri-angula, kun kordi vertikala, quin onu pincas per la du manui e quin onu vibrigas			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	208	37	215	
harpio		(mitol.) Ento quan onu reprezentis kom havanta la vizajo di muliero e la korpo di vulturo ¶ (metaf.) Persono kapt-avida, muliero quaze rabiika			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	208	40	215	
harpuno		Instrumento fera, uzata por akrochar, pikar ¶ Metal-squadro por ligar du peci ek konstrukturo			Germana,Angla,Franca,Rusa,Hispana	DEFRS	208	44	215	
hashisho		Kanabo di India, di qua onu mastikas o fumas la folii sekigita			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	208	47	215	
hastar	netrans., pri	Ne disipar sua tempo (lor agar o facar ulo)			Germana,Angla,Franca	DEF	208	50	215	
hauo		Plug-instrumento fera kun ligno-mancho, por exkavar tero; la fera parto esas larja, plata e tranchiva, kun aristo en plano perpendikla ye la mancho			Germana,Angla,Franca	DEF	208	53	215	
haular	trans.	Tirar (batelo) ad su per kordo (por igar lu avancar alonge rivero, kanalo)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	209	3	216	
havar	trans.	Expresas la relato di ento kun to quo apartenas a lu			Germana,Angla,Franca,Italiana,Hispana	DEFIS	209	6	216	
hazardo		Kauzo blinda atribuita a la fakti di qui la kauzo reala eskapas ni			Germana,Angla,Franca,Rusa,Hispana	DEFRS	209	9	216	
he!		Interjeciono por vokar, avertar, atraktar la atenco, expresar la kompato					209	12	216	sen-lingua
hedero	bot.	Arbusto konsakrita da la Antiqui a Bako, planto klimera qua su ligas per radiketi acesora a la arbori, a la muri, quin lu kovras ye sua foliaro briloza e sempre verda	hedera		Italiana,Hispana,Latina	ISL	209	15	216	
hederaceo		Genero de « labiei », mikra herbo perena, kun stipi reptera, flori mikra klar-violea, qua vivas en la loki koldeta	glechoma hederacea				209	20	216	sen-lingua
hefo		Parto de pasto quan onu lasis fermentacar, e quan onu mixas a la pasto fresha de qua onu facas pano, kuki, por ke ica (pos fermentacir kelke) inflez e divenez plu lejera			Germana	D	209	24	216	
hego		Barilo o klozilo (cirkum agro, gardeno), formacita ek arbusti qui interplektas			Germana,Angla,Franca	DEF	209	28	216	
hegemonio		Speco di dominaco o di prepondero, da un naciono inter altri, de la vidopunto historiala e politikala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	31	216	
hejiro		Ero di la Mohamedisti, qua evas de kande Mohamed fugis de Mekka (yaro 622 pos I. K.)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	34	216	
hekatombo		(antique) Sakrifiko di cent viktimi, di granda quanto de personi ¶ Masakro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	37	216	
hektaro		Cent ari			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	40	216	
hektika	patol.	(febro) karakterizata da deperiso progresanta			Germana,Angla,Franca,Italiana,Hispana	DEFIS	209	42	216	
hektografar	trans.	Imprimar (per aparato) skriburo, desegnuro, muziko-noti quin onu preliminare trasis, per perforo, sur*stencilo ek vaxofolio o parafino-folio quan onu aplikas sur la inkizorolero di ta aparato; onu pasigas sub la rolero la paper-folii virga : la inko trairas la perforuro- e lasas la traco necesa					209	45	216	sen-lingua
hektogramo		Cent grami			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	51	216	
hektolitro		Cent litri			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	53	216	
hektometro		Cent metri			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	55	216	
hektowato		Cent « watt »			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	209	57	216	
heleboro	bot.	Planto herbacea de la familio « ranunkulacei », di qua la stipi esas rametoza, la flori verdatra, e la radiko uzata medicinale por la morbi nervala	helleborus		Angla,Franca,Italiana,Hispana,Latina	EFISL	210	2	217	
helio	kemio	Gaso di atmosfero, deskovrita sur Suno (per la analizo spektrala) e pose sur Tero (en uranio-erco)		He	Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	210	7	217	
helianto	bot.	Genero de planti de la familio « kompozaji », a qua apartenas la sunfloro e la topinamburo	Helianthus		Angla,Franca,Italiana,Hispana	EFIS	210	11	217	
heliantemo	bot.	Genero de planti ek la familio « cistacei »	helianthemum				210	15	217	sen-lingua
helico		(geom.) Lineo du-kurva, trasita filetatre cirkum cilindro ¶ (mekan.) Aparato helicatra qua, movata da vaporo o motoro, propulsas la navi, la aeroplani, e c.			Angla,Franca,Italiana,Hispana	EFIS	210	18	217	
helicoido	geom.	Surfaco produktita da rekto perpendikla ye la axo vertikala di cilindro rekta, e turnanta alonge la helico trasita sur la cilindro					210	23	217	sen-lingua
heliko	zool.	Molusko gasteropoda, reptera, di qua la konko esas helicatra	cochlea				210	27	217	sen-lingua
helikoptero		Aviac-aparato qua su elevas preske vertikale en atmosfero (e decensas de ibe) per surfaci rotacanta quin movas motoro			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	210	30	217	
heliocentrala	astron.	Qua relatas la centro di Suno			Germana,Angla,Franca	DEF	210	34	217	
heliofilo		Qua prizas la lumo-radii					210	36	217	sen-lingua
heliofoba		Qua patologie timas la lumo-radii					210	38	217	sen-lingua
heliograbar	trans.	Reproduktar imaji fotografura per imprimo de sika graburo					210	40	217	sen-lingua
heliografar	trans.	Aplikar la procedi per qui reproduktesas, sur paperfolii fotografala, kalquo-desegnuri di qui la linei esas nigra sur fundo blanka					210	43	217	sen-lingua
heliometro	astron.	Aparato uzata por mezurar la diametro semblanta di Suno e di la planeti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	210	47	217	
helioskopo	astron.	Vitro-peco koloroza per qua onu povas regardar Suno			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	210	50	217	
heliostato	tekn.	Aparato optikala qua mantenas en konstanta direciono sunoradio enduktita en kamero obskura			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	210	53	217	
heliotropo	bot.	Planto de la familio « boraginei », di qua un speco havas flori qui odoras dolcege	Heliotropium europeum				210	56	217	sen-lingua
helixo	anat.	La rebordo di la orel-funelo			Angla,Franca,Italiana,Hispana	EFIS	211	2	218	
heller	ante la milito universala di 1914-18	Moneto-peco ek bronzo e nikelo, adoptita da Austria-Hungaria, centima parto di la « krono »					211	4	218	sen-lingua
helmo		(olim) Kasko pintoza qua kovras la kapo e la vizajo, kun aperturo por la okuli ¶ (blazon-arto) Peco qua indikas, per sua situeso, la gradi diversa di nobeleso			Germana,Angla,Franca,Italiana,Hispana	DEFIS	211	8	218	
helpar	trans.	Partoprenar lo facata od agata da ulu qua ne povas facar od agar lo sole			Germana,Angla	DE	211	12	218	
hem!		Interjeciono qua expresas dubito, hezito					211	15	218	sen-lingua
hemo		La loko intima ube onu vivas (kontraste kun loko ube onu vivas, en hotelo o lojeyo)			Germana,Angla,Franca	DEF	211	17	218	
hematito	mineral.	Sanguino, erco reda brunatre			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	211	20	218	
hemerokalo	bot.	Planto liliacea, di qua la speco precipua esas la konvolvulo	Hemerocallis		Angla,Franca,Italiana,Hispana	EFIS	211	22	218	
hemiopa	patol.	Malada de ta perturbeso vidala, pro qua onu dicernas nur la duimo sinistra o dextra di la objekto			Angla,Franca	EF	211	25	218	
hemiplegio	patol.	Paralizeso di duimo laterala di la homo-korpo			Germana,Angla,Franca	DEF	211	28	218	
hemiptero	zool.	Insekto karakterizata da mi-elitri qui kovras la parto avana di la ali			Germana,Angla,Franca,Italiana,Hispana	DEFIS	211	31	218	
hemistiko	prozodio	Duimo de verso, separita de la altra duimo per silenceto (cezuro)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	211	34	218	
hemoglobino	kemio biol.	Pigmento nitroza e feroza, reda, quan onu renkontras en la hematii di la vertebrozi ed en la hemo-limfo di ula senvertebri			Germana,Angla,Franca	DEF	211	37	218	
hemolizo	biol.	Destrukto di la sango-globuli reda					211	41	218	sen-lingua
hemoptizio	patol.	Sputado di sango			Germana,Angla,Franca	DEF	211	43	218	
hemoragio	patol.	Fluo di sango ek la vaskuli, kun o sen rupteso di la parieti			Germana,Angla,Franca	DEF	211	45	218	
hemoroido	patol.	Tumoro di la veini di la anuso, de qua sango eskapas intervalope			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	211	48	218	
henry	elektrotekniko	Unajo di indukto reciproka o di autoindukto, di qua la valoro egalesas 109 g unaji elektromagnetala C			Hispana	S	211	51	218	
hepato	anat.	Vicero situita, che la homo e la precipua vertebrozi, an la parto supra di la latero rekta di la abdomino, organo qua sekrecas bilo, e produktas materio sukroza de qua lu richigas la sango			Germana,Angla,Franca,Italiana,Hispana	DEFIS	212	2	219	
hepatiko	bot.	Genero de « ranunkulei » de qua un speco rekomendesas kontre la hepato-morbi	hepatica		Angla,Franca,Italiana,Hispana	EFIS	212	7	219	
hepatito		(mineral.) Lapido hepatea ¶ (patol.) Inflamuro di la hepato			Germana,Angla,Franca	DEF	212	10	219	
heptaedro	geom.	Solido sep-edra			Germana,Angla,Portugalana	DEP	212	13	219	
heptagono	geom.	Poligono qua havas sep lateri e sep anguli			Germana,Angla,Franca	DEF	212	15	219	
heraldo	olim	Oficiro di qua la rolo konsistis ye portar la mesaji (defii, sumni, milito-deklari, e c.), agar la proklami, regulizar la festi chevalierala, sorgar pri la blazoni			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	212	18	219	
herbo	bot.	Planto di qua la stipo esas ne-ligna e maxim-multa-kaze verda ¶ Vejetanti verda qui kovras la prati e quin onu uzas por nutrar la bestiaro			Angla,Franca,Italiana,Hispana	EFIS	212	23	219	
herbario		Kolektajo ek planti sikigita e konservata inter paper-folii			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	212	27	219	
herbivora		Qua su nutras per herbo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	212	30	219	
herboro	bot.	Planto medicinala, sikigita o preparita (ye la formo ye qua olu vendesas da herboristo)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	212	32	219	
herdo		Parto petro-plakizita di la kameno-sulo, sur qua onu produktas fairo			Germana,Angla	DE	212	35	219	
heredar	trans.) (yurocienco	Posedeskar ulo per sucedo di persono (generale ek la gepatri o parenti) qua mortis. – (anke metaf.)					212	38	219	sen-lingua
herezio	religio katolika	Doktrino di ula dogmati Kristana qui esas kontrea a la kredo katolika e, do, kondamnita da la eklezio katolika			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	212	42	219	
herisar	trans.	(aludante homo od animalo) Igar rekta e rigida (sua hari, sua pili, sua plumi) ¶ Garnisar (objekto) ye kozi pikiva qui impedas tushar lu			Franca,Hispana	FS	212	46	219	
herisono	zool.	Mamifero insektivora, di qua la dorso-pelo esas kovrita ye pikivi longa e rigida ek pili aglomerita quin lu herisas per bulatreskar kande onu proximigas su a lu	erinaceus		Franca,Hispana	FS	212	50	219	
herkogamio	bot.	Nomo donita da Axell por signifikar la tipo de flori qui esas organizita tale ke la autopolenizo impedesas e ke la transporto di la poleno adsur la stigmato povas eventar nur per la insekti					213	2	220	sen-lingua
herkulo		Mi-deo di la Panteono Romana, simbolo di forteso e vigoro ¶ (metaf.) Persono (generale viro) di qua la forteso o vigoro korpala esas tre granda			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	213	7	220	
hermafrodita	homo	A qua onu atribuas la du sexui; (planto) qua unionas en su la organi di la du sexui			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	213	11	220	
hermetika		Dicesas pri la klozeso di recipiento, klozeso perfekta qua (ideale) obtenesas per kunfuzar la bordi di la orifico kun olti di la stopilo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	213	14	220	
hernio	patol.	Tumoro quan produktas parto de la viceri abdominala qua ekiras tra orifico irga, kunportante parto di la peritoneo, ica formacante quaze sako en qua lu su lokizas ¶ Tumoro quan produktas la ekiro di vicero o di parto de vicero, de lua kavajo naturala tra aperturo irgequala, acidentala o naturala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	213	18	220	
heroo		(mitol.) Mi-deo ¶ La viro qua su distingas per sua prodaji, sua granda valoro, sua devoteso ¶ La viro qua, ye ta o ca instanto, akaparas la atenco, la admiro, da omna kunhomi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	213	25	220	
herono	zool.	Granda ucelo ek la klaso « steltieri », di qua la beko esas tre longa, la gambi magra e tre longa, e qua su nutras generale ek fishi			Germana,Angla,Franca,Italiana	DEFI	213	30	220	
herpeto	patol.	Morbo konstitucionala ed heredebla, nekontagiala, quan karakterizas desordini nervala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	213	34	220	
herso		(agrokultivo) Instrumento provizita ye denti fera o ligna, quan onu tranas sur sulo, pos plugo, por ruptar la glebi – pos semo, por kovrar la semini ¶ (fortifikajo) Greto fera o ligna, garnisita infre ye pinti grosa, quan onu elevas od abasas segun-arbitrie an la pordo di fortifikajo			Franca	F	213	37	220	
heteroblastika	biol.	(fenomeno) qua konsistas ye la formaceso, en la sama punti, che animali inter-parenta, di organi interequivalanta, ma di qui la origino embriologiala esas tamen interdiferanta					213	43	220	sen-lingua
heterodoxo		Qua deviacas de la ortodoxeso			Germana,Angla,Franca	DEF	213	48	220	
heterofila	bot.	(planto) di qua la folii o la kalico-folio esas kelke polimorfa					213	50	220	sen-lingua
heterogama	biol.	Di qua la du elementi sexuala interdiferanta esas fuzita					213	53	220	sen-lingua
heterogena		Qua esas di naturo altra kam to a quo lu esas unionita			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	213	56	220	
heterogenezo	biol.	Produkto di ento vivoza, da enti vivoza pre-existanta, ma di qui la naturo diferas					214	2	221	sen-lingua
heterokromosomo	biol.	Kromosomo qua diferas de la cetera kromosomi normala di la spermatozoido per sua formo e sua dimensioni (plugrandeso o plumikreso)					214	5	221	sen-lingua
heteromorfoso	biol.	Regenero anormala di parto di la korpo					214	9	221	sen-lingua
heterosexuala		Di qua la sexui esas nesama					214	11	221	sen-lingua
heterostila	bot.	Di qua la stili esas longa ne-egale					214	13	221	sen-lingua
heterotipa	teratol.	Monstro duopla en qua un ek la unaji, acesora e parazita, nekomplete developita, esas enplantacita en la parto avana di la korpo di la unajo precipua					214	15	221	sen-lingua
heuristiko		Parto di la historio-cienco qua traktas la serchado di la dokumenti					214	19	221	sen-lingua
hexaedra	geom.	Sis-edra			Germana,Angla,Franca	DEF	214	22	221	
hexagono	geom.	Figuro geometriala kun sis anguli e sis lateri			Germana,Angla,Franca	DEF	214	24	221	
hexagramo		(filoz.) Singla ek la 64 divino-kombinuri di la Chiniani, kombinuri ek du de la 18 trigrami dispozita vento-roze, e di qui singla konsistas ye la kombinuro ek tri linei ¶ Asemblajo ek sis literi					214	27	221	sen-lingua
hexametro	metriko	Sis-peda verso			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	214	32	221	
hezitar	netrans., pri, pro	Ne-decidar pri la adopto di selekto, di rezolvo			Germana,Angla,Franca,Italiana	DEFI	214	34	221	
hiacinto		(bot.) Planto ek la familio « liliacei » ¶ (mineral.) Lapido, varietato di topazo	hyacinthus		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	214	37	221	
hialoplasmo	biol.	Parto homogena, amorfa e fluida di protoplasmo					214	40	221	sen-lingua
hiato		(gram.) Son-uno quan produktas la renkontro di du vokali, ica finanta vorto, ita komencanta la vorto sequanta ¶ (metaf.) Nekontinueso inter la ceni di teatrajo, inter la gradi di genealogio-arboro, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	214	43	221	
hibernar	netrans.) (pri ula animali	Vivar dum vintro, partorporante			Angla,Franca	EF	214	48	221	
hibrida		(planto od animalo) qua devenas de du speci ¶ (gram.) (vorto) qua konsistas ye elementi, di qui ica apartenas a linguo, ita a linguo diferanta			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	214	51	221	
hido	kemio	Korpo simpla, gaso, di qua la kombino kun oxo produktas aquo		H	Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	214	55	221	
hidalgo		Nobelo Hispana qua asertas decendar de familio Kristana anciena			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	215	4	222	
hidatodo	biol.	Nomo kreita da Haberlandt por signifikar organo mikroskopala qua ekpulsas la aquo quan kontenas la planto					215	7	222	sen-lingua
hidro		(mitol.) Serpento sep-kapa, qua produktis sep altra kapi kande onu tranchis un ek la sep ¶ (zool.) Aquo-serpento reptera; anke : mikra polipo qua habitas aquo sen-sala e su nutras ek mikra krustacei e dafni, quin lu kaptas per sua palpili	hydra		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	215	10	222	
hidramnioto	anat.	Hidropso di la amniono; hiper-abundo di la liquido amnionala					215	16	222	sen-lingua
hidranto		Buxo ek gisfero, qua kontenas junto-tubo e robineto por aquo-cherpo, instalita sive borde di la choseo, sive an muro, ed uzata da la extingisti di incendii. – DE. s q c i					215	19	222	sen-lingua
hidrato	kemio	Kompozajo derivita ek aquo, per substituco, o formacita per la kombino nemediata di substanco kun aquo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	215	23	222	
hidrauliko		La parto di fiziko qua traktas la *leyi (legi) pri la movo da la liquidi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	215	26	222	
hidrocefala	anat.	Hidropso di la kapo			Germana,Angla,Franca	DEF	215	29	222	
hidrodinamiko		La parto di hidrauliko qua traktas la movi e la presi da la fluidi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	215	31	222	
hidrofila		Qua esas avida ye aquo, qua absorbas aquo ¶ (materio koloida) qua inflesas en aquo					215	34	222	sen-lingua
hidrofobio	patol.	Hororo di la liquidi, qua karakterizas ula morbi (kom ex. : rabio)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	215	37	222	
hidrogeno	kemio	Sinonimo di « hido »			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	215	40	222	
hidrografio		Cienco qua havas kom temo la studio e la deskripto di la riveri, fluvii e mari			Germana,Angla,Franca,Italiana,Hispana	DEFIS	215	42	222	
hidrografo		La persono qua esas kompetenta pri hidrografio					215	45	222	sen-lingua
